"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2023 (provisional)"	"2023/01"	198	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2023 (provisional)"	"2023/02"	124	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2023 (provisional)"	"2023/03"	66	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2023 (provisional)"	"2023/04"	52	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2023 (provisional)"	"2023/05"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2023 (provisional)"	"2023/06"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2023 (provisional)"	"2023/07"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2023 (provisional)"	"2023/08"	62	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2023 (provisional)"	"2023/09"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2023 (provisional)"	"2023/10"	53	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2023 (provisional)"	"2023/11"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2023 (provisional)"	"2023/12"	91	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2020"	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2020"	"2020/05"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2020"	"2020/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2020"	"2020/07"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2020"	"2020/08"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2020"	"2020/09"	11	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2020"	"2020/10"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2020"	"2020/11"	58	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2020"	"2020/12"	89	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2021"	"2021/01"	30	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2021"	"2021/02"	16	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2021"	"2021/03"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2021"	"2021/04"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2021"	"2021/05"	28	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2021"	"2021/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2021"	"2021/07"	23	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2021"	"2021/08"	100	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2021"	"2021/09"	174	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2021"	"2021/10"	204	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2021"	"2021/11"	105	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2021"	"2021/12"	48	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2022"	"2022/01"	58	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2022"	"2022/02"	66	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2022"	"2022/03"	25	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2022"	"2022/04"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2022"	"2022/05"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2022"	"2022/06"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2022"	"2022/07"	18	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2022"	"2022/08"	13	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2022"	"2022/09"	14	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2022"	"2022/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2022"	"2022/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2022"	"2022/12"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jan., 2023 (provisional)"	"2023/01"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Feb., 2023 (provisional)"	"2023/02"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Mar., 2023 (provisional)"	"2023/03"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Apr., 2023 (provisional)"	"2023/04"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"May, 2023 (provisional)"	"2023/05"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jun., 2023 (provisional)"	"2023/06"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Jul., 2023 (provisional)"	"2023/07"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Aug., 2023 (provisional)"	"2023/08"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Sep., 2023 (provisional)"	"2023/09"	10	Not Applicable	Not Applicable
	"Alaska"	"02"	"Oct., 2023 (provisional)"	"2023/10"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Nov., 2023 (provisional)"	"2023/11"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Dec., 2023 (provisional)"	"2023/12"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2020"	"2020/03"	58	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2020"	"2020/04"	376	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2020"	"2020/05"	463	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2020"	"2020/06"	818	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2020"	"2020/07"	1949	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2020"	"2020/08"	848	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2020"	"2020/09"	228	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2020"	"2020/10"	226	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2020"	"2020/11"	769	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2020"	"2020/12"	2783	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2021"	"2021/01"	3752	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2021"	"2021/02"	1515	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2021"	"2021/03"	415	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2021"	"2021/04"	196	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2021"	"2021/05"	202	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2021"	"2021/06"	149	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2021"	"2021/07"	260	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2021"	"2021/08"	735	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2021"	"2021/09"	1115	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2021"	"2021/10"	1045	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2021"	"2021/11"	1491	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2021"	"2021/12"	2028	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2022"	"2022/01"	1851	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2022"	"2022/02"	1140	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2022"	"2022/03"	332	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2022"	"2022/04"	84	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2022"	"2022/05"	77	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2022"	"2022/06"	157	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2022"	"2022/07"	182	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2022"	"2022/08"	118	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2022"	"2022/09"	96	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2022"	"2022/10"	83	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2022"	"2022/11"	204	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2022"	"2022/12"	366	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jan., 2023 (provisional)"	"2023/01"	163	Not Applicable	Not Applicable
	"Arizona"	"04"	"Feb., 2023 (provisional)"	"2023/02"	81	Not Applicable	Not Applicable
	"Arizona"	"04"	"Mar., 2023 (provisional)"	"2023/03"	97	Not Applicable	Not Applicable
	"Arizona"	"04"	"Apr., 2023 (provisional)"	"2023/04"	85	Not Applicable	Not Applicable
	"Arizona"	"04"	"May, 2023 (provisional)"	"2023/05"	82	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jun., 2023 (provisional)"	"2023/06"	41	Not Applicable	Not Applicable
	"Arizona"	"04"	"Jul., 2023 (provisional)"	"2023/07"	50	Not Applicable	Not Applicable
	"Arizona"	"04"	"Aug., 2023 (provisional)"	"2023/08"	31	Not Applicable	Not Applicable
	"Arizona"	"04"	"Sep., 2023 (provisional)"	"2023/09"	57	Not Applicable	Not Applicable
	"Arizona"	"04"	"Oct., 2023 (provisional)"	"2023/10"	95	Not Applicable	Not Applicable
	"Arizona"	"04"	"Nov., 2023 (provisional)"	"2023/11"	83	Not Applicable	Not Applicable
	"Arizona"	"04"	"Dec., 2023 (provisional)"	"2023/12"	113	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2020"	"2020/03"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2020"	"2020/04"	53	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2020"	"2020/05"	63	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2020"	"2020/06"	141	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2020"	"2020/07"	246	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2020"	"2020/08"	359	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2020"	"2020/09"	360	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2020"	"2020/10"	543	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2020"	"2020/11"	736	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2020"	"2020/12"	1026	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2021"	"2021/01"	1061	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2021"	"2021/02"	414	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2021"	"2021/03"	168	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021"	"2021/04"	63	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021"	"2021/05"	76	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021"	"2021/06"	110	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021"	"2021/07"	375	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021"	"2021/08"	895	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021"	"2021/09"	713	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021"	"2021/10"	383	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021"	"2021/11"	200	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021"	"2021/12"	336	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022"	"2022/01"	707	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022"	"2022/02"	664	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2022"	"2022/03"	147	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2022"	"2022/04"	27	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2022"	"2022/05"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2022"	"2022/06"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2022"	"2022/07"	100	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2022"	"2022/08"	127	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2022"	"2022/09"	94	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2022"	"2022/10"	57	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2022"	"2022/11"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2022"	"2022/12"	88	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2023 (provisional)"	"2023/01"	122	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2023 (provisional)"	"2023/02"	65	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2023 (provisional)"	"2023/03"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2023 (provisional)"	"2023/04"	32	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2023 (provisional)"	"2023/05"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2023 (provisional)"	"2023/06"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2023 (provisional)"	"2023/07"	18	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2023 (provisional)"	"2023/08"	28	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2023 (provisional)"	"2023/09"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2023 (provisional)"	"2023/10"	29	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2023 (provisional)"	"2023/11"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2023 (provisional)"	"2023/12"	61	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2020"	"2020/03"	267	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2020"	"2020/04"	1940	Not Applicable	Not Applicable
	"California"	"06"	"May, 2020"	"2020/05"	2119	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2020"	"2020/06"	1894	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2020"	"2020/07"	3605	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2020"	"2020/08"	3455	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2020"	"2020/09"	1864	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2020"	"2020/10"	1290	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2020"	"2020/11"	2341	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2020"	"2020/12"	12404	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2021"	"2021/01"	18871	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2021"	"2021/02"	7105	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2021"	"2021/03"	1994	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2021"	"2021/04"	782	Not Applicable	Not Applicable
	"California"	"06"	"May, 2021"	"2021/05"	522	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2021"	"2021/06"	340	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2021"	"2021/07"	688	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2021"	"2021/08"	3147	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2021"	"2021/09"	3964	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2021"	"2021/10"	2528	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2021"	"2021/11"	2200	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2021"	"2021/12"	2129	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2022"	"2022/01"	5990	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2022"	"2022/02"	4191	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2022"	"2022/03"	1085	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2022"	"2022/04"	324	Not Applicable	Not Applicable
	"California"	"06"	"May, 2022"	"2022/05"	392	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2022"	"2022/06"	659	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2022"	"2022/07"	1090	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2022"	"2022/08"	948	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2022"	"2022/09"	593	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2022"	"2022/10"	356	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2022"	"2022/11"	569	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2022"	"2022/12"	1236	Not Applicable	Not Applicable
	"California"	"06"	"Jan., 2023 (provisional)"	"2023/01"	937	Not Applicable	Not Applicable
	"California"	"06"	"Feb., 2023 (provisional)"	"2023/02"	512	Not Applicable	Not Applicable
	"California"	"06"	"Mar., 2023 (provisional)"	"2023/03"	485	Not Applicable	Not Applicable
	"California"	"06"	"Apr., 2023 (provisional)"	"2023/04"	321	Not Applicable	Not Applicable
	"California"	"06"	"May, 2023 (provisional)"	"2023/05"	238	Not Applicable	Not Applicable
	"California"	"06"	"Jun., 2023 (provisional)"	"2023/06"	200	Not Applicable	Not Applicable
	"California"	"06"	"Jul., 2023 (provisional)"	"2023/07"	202	Not Applicable	Not Applicable
	"California"	"06"	"Aug., 2023 (provisional)"	"2023/08"	315	Not Applicable	Not Applicable
	"California"	"06"	"Sep., 2023 (provisional)"	"2023/09"	424	Not Applicable	Not Applicable
	"California"	"06"	"Oct., 2023 (provisional)"	"2023/10"	330	Not Applicable	Not Applicable
	"California"	"06"	"Nov., 2023 (provisional)"	"2023/11"	342	Not Applicable	Not Applicable
	"California"	"06"	"Dec., 2023 (provisional)"	"2023/12"	573	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2020"	"2020/03"	98	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2020"	"2020/04"	820	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2020"	"2020/05"	406	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2020"	"2020/06"	144	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2020"	"2020/07"	119	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2020"	"2020/08"	100	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2020"	"2020/09"	96	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2020"	"2020/10"	222	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2020"	"2020/11"	976	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2020"	"2020/12"	1432	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2021"	"2021/01"	609	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2021"	"2021/02"	262	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2021"	"2021/03"	157	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2021"	"2021/04"	162	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2021"	"2021/05"	276	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2021"	"2021/06"	172	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2021"	"2021/07"	171	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2021"	"2021/08"	284	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2021"	"2021/09"	480	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2021"	"2021/10"	744	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2021"	"2021/11"	1099	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2021"	"2021/12"	999	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2022"	"2022/01"	876	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2022"	"2022/02"	479	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2022"	"2022/03"	143	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2022"	"2022/04"	41	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2022"	"2022/05"	61	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2022"	"2022/06"	108	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2022"	"2022/07"	108	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2022"	"2022/08"	75	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2022"	"2022/09"	71	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2022"	"2022/10"	80	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2022"	"2022/11"	142	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2022"	"2022/12"	137	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jan., 2023 (provisional)"	"2023/01"	89	Not Applicable	Not Applicable
	"Colorado"	"08"	"Feb., 2023 (provisional)"	"2023/02"	43	Not Applicable	Not Applicable
	"Colorado"	"08"	"Mar., 2023 (provisional)"	"2023/03"	63	Not Applicable	Not Applicable
	"Colorado"	"08"	"Apr., 2023 (provisional)"	"2023/04"	44	Not Applicable	Not Applicable
	"Colorado"	"08"	"May, 2023 (provisional)"	"2023/05"	30	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jun., 2023 (provisional)"	"2023/06"	26	Not Applicable	Not Applicable
	"Colorado"	"08"	"Jul., 2023 (provisional)"	"2023/07"	16	Not Applicable	Not Applicable
	"Colorado"	"08"	"Aug., 2023 (provisional)"	"2023/08"	27	Not Applicable	Not Applicable
	"Colorado"	"08"	"Sep., 2023 (provisional)"	"2023/09"	42	Not Applicable	Not Applicable
	"Colorado"	"08"	"Oct., 2023 (provisional)"	"2023/10"	76	Not Applicable	Not Applicable
	"Colorado"	"08"	"Nov., 2023 (provisional)"	"2023/11"	107	Not Applicable	Not Applicable
	"Colorado"	"08"	"Dec., 2023 (provisional)"	"2023/12"	86	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Mar., 2020"	"2020/03"	118	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Apr., 2020"	"2020/04"	2355	Not Applicable	Not Applicable
	"Connecticut"	"09"	"May, 2020"	"2020/05"	1434	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jun., 2020"	"2020/06"	229	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Jul., 2020"	"2020/07"	56	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Aug., 2020"	"2020/08"	24	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Sep., 2020"	"2020/09"	36	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Oct., 2020"	"2020/10"	131	Not Applicable	Not Applicable
	"Connecticut"	"09"	"Nov., 2020"	"2020/11"	453	Not Applicable	Not Applicable
