"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"85+ years"	"85+"	1171	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"35-44 years"	"35-44"	193	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"45-54 years"	"45-54"	336	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"55-64 years"	"55-64"	776	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"65-74 years"	"65-74"	1083	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"75-84 years"	"75-84"	1243	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	"85+ years"	"85+"	1209	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"35-44 years"	"35-44"	197	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"45-54 years"	"45-54"	356	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"55-64 years"	"55-64"	723	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"65-74 years"	"65-74"	1040	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"75-84 years"	"75-84"	1218	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	"85+ years"	"85+"	1133	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"35-44 years"	"35-44"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"45-54 years"	"45-54"	387	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"55-64 years"	"55-64"	871	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"65-74 years"	"65-74"	1265	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"75-84 years"	"75-84"	1438	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	"85+ years"	"85+"	1335	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"35-44 years"	"35-44"	215	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"45-54 years"	"45-54"	367	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"55-64 years"	"55-64"	858	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"65-74 years"	"65-74"	1230	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"75-84 years"	"75-84"	1484	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	"85+ years"	"85+"	1357	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"35-44 years"	"35-44"	172	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"45-54 years"	"45-54"	330	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"55-64 years"	"55-64"	752	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"65-74 years"	"65-74"	1148	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"75-84 years"	"75-84"	1271	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	"85+ years"	"85+"	1237	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"35-44 years"	"35-44"	156	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"45-54 years"	"45-54"	324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"55-64 years"	"55-64"	754	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"65-74 years"	"65-74"	1173	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"75-84 years"	"75-84"	1330	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	"85+ years"	"85+"	1218	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"35-44 years"	"35-44"	192	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"45-54 years"	"45-54"	329	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"55-64 years"	"55-64"	793	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"65-74 years"	"65-74"	1268	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"75-84 years"	"75-84"	1410	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	"85+ years"	"85+"	1324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"35-44 years"	"35-44"	222	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"45-54 years"	"45-54"	405	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"55-64 years"	"55-64"	953	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"65-74 years"	"65-74"	1592	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"75-84 years"	"75-84"	1868	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	"85+ years"	"85+"	1751	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"35-44 years"	"35-44"	240	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"45-54 years"	"45-54"	469	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"55-64 years"	"55-64"	1157	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"65-74 years"	"65-74"	1793	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"75-84 years"	"75-84"	2041	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	"85+ years"	"85+"	1872	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"35-44 years"	"35-44"	177	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"45-54 years"	"45-54"	345	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"55-64 years"	"55-64"	820	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"65-74 years"	"65-74"	1278	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"75-84 years"	"75-84"	1470	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	"85+ years"	"85+"	1243	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"35-44 years"	"35-44"	183	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"45-54 years"	"45-54"	354	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"55-64 years"	"55-64"	769	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"65-74 years"	"65-74"	1132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"75-84 years"	"75-84"	1314	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	"85+ years"	"85+"	1085	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"35-44 years"	"35-44"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"45-54 years"	"45-54"	357	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"55-64 years"	"55-64"	747	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"65-74 years"	"65-74"	1162	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"75-84 years"	"75-84"	1184	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	"85+ years"	"85+"	1057	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"35-44 years"	"35-44"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"45-54 years"	"45-54"	317	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"55-64 years"	"55-64"	760	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"65-74 years"	"65-74"	1143	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"75-84 years"	"75-84"	1168	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	"85+ years"	"85+"	1069	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"35-44 years"	"35-44"	193	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"45-54 years"	"45-54"	325	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"55-64 years"	"55-64"	716	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"65-74 years"	"65-74"	1042	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"75-84 years"	"75-84"	1120	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"85+ years"	"85+"	1045	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"35-44 years"	"35-44"	190	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"45-54 years"	"45-54"	361	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"55-64 years"	"55-64"	781	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"65-74 years"	"65-74"	1089	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"75-84 years"	"75-84"	1179	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"85+ years"	"85+"	1055	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"35-44 years"	"35-44"	339	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"45-54 years"	"45-54"	601	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"55-64 years"	"55-64"	1129	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"65-74 years"	"65-74"	1527	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"75-84 years"	"75-84"	1515	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"85+ years"	"85+"	1267	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"35-44 years"	"35-44"	335	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"45-54 years"	"45-54"	612	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"55-64 years"	"55-64"	1208	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"65-74 years"	"65-74"	1604	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"75-84 years"	"75-84"	1501	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	"85+ years"	"85+"	1205	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"35-44 years"	"35-44"	243	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"45-54 years"	"45-54"	422	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"55-64 years"	"55-64"	886	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"65-74 years"	"65-74"	1333	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"75-84 years"	"75-84"	1278	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	"85+ years"	"85+"	1151	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"35-44 years"	"35-44"	186	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"45-54 years"	"45-54"	336	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"55-64 years"	"55-64"	738	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"65-74 years"	"65-74"	1183	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"75-84 years"	"75-84"	1285	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	"85+ years"	"85+"	1084	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"35-44 years"	"35-44"	221	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"45-54 years"	"45-54"	359	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"55-64 years"	"55-64"	782	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"65-74 years"	"65-74"	1189	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"75-84 years"	"75-84"	1303	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	"85+ years"	"85+"	1206	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"35-44 years"	"35-44"	190	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"45-54 years"	"45-54"	439	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"55-64 years"	"55-64"	1044	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"65-74 years"	"65-74"	1547	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"75-84 years"	"75-84"	1718	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	"85+ years"	"85+"	1515	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"35-44 years"	"35-44"	171	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"45-54 years"	"45-54"	384	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"55-64 years"	"55-64"	850	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"65-74 years"	"65-74"	1381	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"75-84 years"	"75-84"	1562	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	"85+ years"	"85+"	1388	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"35-44 years"	"35-44"	190	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"45-54 years"	"45-54"	309	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"55-64 years"	"55-64"	750	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"65-74 years"	"65-74"	1139	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"75-84 years"	"75-84"	1312	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	"85+ years"	"85+"	1103	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"35-44 years"	"35-44"	190	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"45-54 years"	"45-54"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"55-64 years"	"55-64"	636	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"65-74 years"	"65-74"	1040	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"75-84 years"	"75-84"	1110	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	"85+ years"	"85+"	1043	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"35-44 years"	"35-44"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"45-54 years"	"45-54"	302	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"55-64 years"	"55-64"	636	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"65-74 years"	"65-74"	1051	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"75-84 years"	"75-84"	1154	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	"85+ years"	"85+"	1027	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"35-44 years"	"35-44"	195	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"45-54 years"	"45-54"	321	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"55-64 years"	"55-64"	667	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"65-74 years"	"65-74"	1015	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"75-84 years"	"75-84"	1154	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	"85+ years"	"85+"	1048	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"35-44 years"	"35-44"	212	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"45-54 years"	"45-54"	313	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"55-64 years"	"55-64"	715	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"65-74 years"	"65-74"	995	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"75-84 years"	"75-84"	1245	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	"85+ years"	"85+"	1119	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"35-44 years"	"35-44"	187	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"45-54 years"	"45-54"	345	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"55-64 years"	"55-64"	649	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"65-74 years"	"65-74"	1063	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"75-84 years"	"75-84"	1235	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	"85+ years"	"85+"	1076	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"35-44 years"	"35-44"	168	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"45-54 years"	"45-54"	304	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"55-64 years"	"55-64"	686	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"65-74 years"	"65-74"	1075	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"75-84 years"	"75-84"	1175	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	"85+ years"	"85+"	1042	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"35-44 years"	"35-44"	196	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	"45-54 years"	"45-54"	326	Not Applicable	Not Applicable
