"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"15-24 years"	"15-24"	"2018"	"2018"	671	640900	104.7
	"Alabama"	"01"	"15-24 years"	"15-24"	"2019"	"2019"	623	635707	98.0
	"Alabama"	"01"	"15-24 years"	"15-24"	"2020 "	"2020"	728	633391	114.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2015"	"2015"	1069	632726	169.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2016"	"2016"	1173	637487	184.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2017"	"2017"	1178	640302	184.0
	"Alabama"	"01"	"25-34 years"	"25-34"	"2018"	"2018"	1148	643540	178.4
	"Alabama"	"01"	"25-34 years"	"25-34"	"2019"	"2019"	1158	647229	178.9
	"Alabama"	"01"	"25-34 years"	"25-34"	"2020 "	"2020"	1371	650546	210.7
	"Alabama"	"01"	"35-44 years"	"35-44"	"2015"	"2015"	1680	602496	278.8
	"Alabama"	"01"	"35-44 years"	"35-44"	"2016"	"2016"	1830	595713	307.2
	"Alabama"	"01"	"35-44 years"	"35-44"	"2017"	"2017"	1766	591795	298.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"2018"	"2018"	1820	592302	307.3
	"Alabama"	"01"	"35-44 years"	"35-44"	"2019"	"2019"	1794	593306	302.4
	"Alabama"	"01"	"35-44 years"	"35-44"	"2020 "	"2020"	2226	596362	373.3
	"Alabama"	"01"	"45-54 years"	"45-54"	"2015"	"2015"	3975	649442	612.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"2016"	"2016"	3870	644018	600.9
	"Alabama"	"01"	"45-54 years"	"45-54"	"2017"	"2017"	3624	636632	569.2
	"Alabama"	"01"	"45-54 years"	"45-54"	"2018"	"2018"	3596	627458	573.1
	"Alabama"	"01"	"45-54 years"	"45-54"	"2019"	"2019"	3447	616616	559.0
	"Alabama"	"01"	"45-54 years"	"45-54"	"2020 "	"2020"	4173	608174	686.2
	"Alabama"	"01"	"55-64 years"	"55-64"	"2015"	"2015"	7763	637997	1216.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"2016"	"2016"	7779	645092	1205.9
	"Alabama"	"01"	"55-64 years"	"55-64"	"2017"	"2017"	8095	650545	1244.3
	"Alabama"	"01"	"55-64 years"	"55-64"	"2018"	"2018"	8096	655179	1235.7
	"Alabama"	"01"	"55-64 years"	"55-64"	"2019"	"2019"	7943	657667	1207.8
	"Alabama"	"01"	"55-64 years"	"55-64"	"2020 "	"2020"	9585	657281	1458.3
	"Alabama"	"01"	"65-74 years"	"65-74"	"2015"	"2015"	10347	450273	2297.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"2016"	"2016"	11012	464669	2369.9
	"Alabama"	"01"	"65-74 years"	"65-74"	"2017"	"2017"	11208	477332	2348.1
	"Alabama"	"01"	"65-74 years"	"65-74"	"2018"	"2018"	11581	487721	2374.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"2019"	"2019"	11917	501447	2376.5
	"Alabama"	"01"	"65-74 years"	"65-74"	"2020 "	"2020"	14323	517717	2766.6
	"Alabama"	"01"	"75-84 years"	"75-84"	"2015"	"2015"	12705	228450	5561.4
	"Alabama"	"01"	"75-84 years"	"75-84"	"2016"	"2016"	12538	233129	5378.1
	"Alabama"	"01"	"75-84 years"	"75-84"	"2017"	"2017"	13038	238260	5472.2
	"Alabama"	"01"	"75-84 years"	"75-84"	"2018"	"2018"	13569	249308	5442.7
	"Alabama"	"01"	"75-84 years"	"75-84"	"2019"	"2019"	13458	256847	5239.7
	"Alabama"	"01"	"75-84 years"	"75-84"	"2020 "	"2020"	16328	263668	6192.6
	"Alabama"	"01"	"85+ years"	"85+"	"2015"	"2015"	13042	85439	15264.7
	"Alabama"	"01"	"85+ years"	"85+"	"2016"	"2016"	12816	86753	14773.0
	"Alabama"	"01"	"85+ years"	"85+"	"2017"	"2017"	13033	88179	14780.2
	"Alabama"	"01"	"85+ years"	"85+"	"2018"	"2018"	13271	89865	14767.7
	"Alabama"	"01"	"85+ years"	"85+"	"2019"	"2019"	13080	91543	14288.4
	"Alabama"	"01"	"85+ years"	"85+"	"2020 "	"2020"	15447	92859	16634.9
	"Alabama"	"01"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2016"	"2016"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2017"	"2017"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Not Stated"	"NS"	"2020 "	"2020"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"< 1 year"	"1"	"2015"	"2015"	78	11383	685.2
	"Alaska"	"02"	"< 1 year"	"1"	"2016"	"2016"	60	10938	548.5
	"Alaska"	"02"	"< 1 year"	"1"	"2017"	"2017"	59	11099	531.6
	"Alaska"	"02"	"< 1 year"	"1"	"2018"	"2018"	60	10665	562.6
	"Alaska"	"02"	"< 1 year"	"1"	"2019"	"2019"	48	9978	481.1
	"Alaska"	"02"	"< 1 year"	"1"	"2020 "	"2020"	49	9706	504.8
	"Alaska"	"02"	"1-4 years"	"1-4"	"2015"	"2015"	23	44066	52.2
	"Alaska"	"02"	"1-4 years"	"1-4"	"2016"	"2016"	20	43177	46.3
	"Alaska"	"02"	"1-4 years"	"1-4"	"2017"	"2017"	23	42984	53.5
	"Alaska"	"02"	"1-4 years"	"1-4"	"2018"	"2018"	11	42450	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2019"	"2019"	18	41102	Unreliable
	"Alaska"	"02"	"1-4 years"	"1-4"	"2020 "	"2020"	Suppressed	40043	Suppressed
	"Alaska"	"02"	"5-14 years"	"5-14"	"2015"	"2015"	22	100913	21.8
	"Alaska"	"02"	"5-14 years"	"5-14"	"2016"	"2016"	20	103122	19.4
	"Alaska"	"02"	"5-14 years"	"5-14"	"2017"	"2017"	32	101535	31.5
	"Alaska"	"02"	"5-14 years"	"5-14"	"2018"	"2018"	26	101815	25.5
	"Alaska"	"02"	"5-14 years"	"5-14"	"2019"	"2019"	22	100662	21.9
	"Alaska"	"02"	"5-14 years"	"5-14"	"2020 "	"2020"	35	100673	34.8
	"Alaska"	"02"	"15-24 years"	"15-24"	"2015"	"2015"	122	110527	110.4
	"Alaska"	"02"	"15-24 years"	"15-24"	"2016"	"2016"	138	105364	131.0
	"Alaska"	"02"	"15-24 years"	"15-24"	"2017"	"2017"	125	101519	123.1
	"Alaska"	"02"	"15-24 years"	"15-24"	"2018"	"2018"	97	99263	97.7
	"Alaska"	"02"	"15-24 years"	"15-24"	"2019"	"2019"	125	96393	129.7
	"Alaska"	"02"	"15-24 years"	"15-24"	"2020 "	"2020"	132	95399	138.4
	"Alaska"	"02"	"25-34 years"	"25-34"	"2015"	"2015"	182	120486	151.1
	"Alaska"	"02"	"25-34 years"	"25-34"	"2016"	"2016"	235	120453	195.1
	"Alaska"	"02"	"25-34 years"	"25-34"	"2017"	"2017"	229	120215	190.5
	"Alaska"	"02"	"25-34 years"	"25-34"	"2018"	"2018"	193	118865	162.4
	"Alaska"	"02"	"25-34 years"	"25-34"	"2019"	"2019"	227	117588	193.0
	"Alaska"	"02"	"25-34 years"	"25-34"	"2020 "	"2020"	238	116308	204.6
	"Alaska"	"02"	"35-44 years"	"35-44"	"2015"	"2015"	194	90156	215.2
	"Alaska"	"02"	"35-44 years"	"35-44"	"2016"	"2016"	222	92145	240.9
	"Alaska"	"02"	"35-44 years"	"35-44"	"2017"	"2017"	209	93212	224.2
	"Alaska"	"02"	"35-44 years"	"35-44"	"2018"	"2018"	206	94650	217.6
	"Alaska"	"02"	"35-44 years"	"35-44"	"2019"	"2019"	242	95765	252.7
	"Alaska"	"02"	"35-44 years"	"35-44"	"2020 "	"2020"	285	98141	290.4
	"Alaska"	"02"	"45-54 years"	"45-54"	"2015"	"2015"	433	94440	458.5
	"Alaska"	"02"	"45-54 years"	"45-54"	"2016"	"2016"	399	94167	423.7
	"Alaska"	"02"	"45-54 years"	"45-54"	"2017"	"2017"	405	91285	443.7
	"Alaska"	"02"	"45-54 years"	"45-54"	"2018"	"2018"	401	88117	455.1
	"Alaska"	"02"	"45-54 years"	"45-54"	"2019"	"2019"	335	85130	393.5
	"Alaska"	"02"	"45-54 years"	"45-54"	"2020 "	"2020"	409	83476	490.0
	"Alaska"	"02"	"55-64 years"	"55-64"	"2015"	"2015"	806	93624	860.9
	"Alaska"	"02"	"55-64 years"	"55-64"	"2016"	"2016"	815	95322	855.0
	"Alaska"	"02"	"55-64 years"	"55-64"	"2017"	"2017"	774	95366	811.6
	"Alaska"	"02"	"55-64 years"	"55-64"	"2018"	"2018"	766	94602	809.7
	"Alaska"	"02"	"55-64 years"	"55-64"	"2019"	"2019"	769	93339	823.9
	"Alaska"	"02"	"55-64 years"	"55-64"	"2020 "	"2020"	856	91536	935.2
	"Alaska"	"02"	"65-74 years"	"65-74"	"2015"	"2015"	836	49155	1700.7
	"Alaska"	"02"	"65-74 years"	"65-74"	"2016"	"2016"	943	52387	1800.1
	"Alaska"	"02"	"65-74 years"	"65-74"	"2017"	"2017"	919	55904	1643.9
	"Alaska"	"02"	"65-74 years"	"65-74"	"2018"	"2018"	949	58555	1620.7
	"Alaska"	"02"	"65-74 years"	"65-74"	"2019"	"2019"	1022	61300	1667.2
	"Alaska"	"02"	"65-74 years"	"65-74"	"2020 "	"2020"	1134	64158	1767.5
	"Alaska"	"02"	"75-84 years"	"75-84"	"2015"	"2015"	857	17545	4884.6
	"Alaska"	"02"	"75-84 years"	"75-84"	"2016"	"2016"	855	18399	4647.0
	"Alaska"	"02"	"75-84 years"	"75-84"	"2017"	"2017"	837	20122	4159.6
	"Alaska"	"02"	"75-84 years"	"75-84"	"2018"	"2018"	923	21603	4272.6
	"Alaska"	"02"	"75-84 years"	"75-84"	"2019"	"2019"	979	23107	4236.8
	"Alaska"	"02"	"75-84 years"	"75-84"	"2020 "	"2020"	1094	24379	4487.5
	"Alaska"	"02"	"85+ years"	"85+"	"2015"	"2015"	763	6137	12432.8
	"Alaska"	"02"	"85+ years"	"85+"	"2016"	"2016"	786	6420	12243.0
	"Alaska"	"02"	"85+ years"	"85+"	"2017"	"2017"	798	6554	12175.8
	"Alaska"	"02"	"85+ years"	"85+"	"2018"	"2018"	821	6853	11980.2
	"Alaska"	"02"	"85+ years"	"85+"	"2019"	"2019"	826	7181	11502.6
	"Alaska"	"02"	"85+ years"	"85+"	"2020 "	"2020"	930	7339	12672.0
	"Alaska"	"02"	"Not Stated"	"NS"	"2015"	"2015"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2019"	"2019"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"Not Stated"	"NS"	"2020 "	"2020"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"< 1 year"	"1"	"2015"	"2015"	469	86440	542.6
	"Arizona"	"04"	"< 1 year"	"1"	"2016"	"2016"	456	87702	519.9
	"Arizona"	"04"	"< 1 year"	"1"	"2017"	"2017"	469	85596	547.9
	"Arizona"	"04"	"< 1 year"	"1"	"2018"	"2018"	451	83553	539.8
	"Arizona"	"04"	"< 1 year"	"1"	"2019"	"2019"	429	81929	523.6
	"Arizona"	"04"	"< 1 year"	"1"	"2020 "	"2020"	405	81409	497.5
	"Arizona"	"04"	"1-4 years"	"1-4"	"2015"	"2015"	104	342804	30.3
	"Arizona"	"04"	"1-4 years"	"1-4"	"2016"	"2016"	120	351617	34.1
	"Arizona"	"04"	"1-4 years"	"1-4"	"2017"	"2017"	100	351666	28.4
	"Arizona"	"04"	"1-4 years"	"1-4"	"2018"	"2018"	114	352383	32.4
	"Arizona"	"04"	"1-4 years"	"1-4"	"2019"	"2019"	81	347859	23.3
	"Arizona"	"04"	"1-4 years"	"1-4"	"2020 "	"2020"	102	343346	29.7
	"Arizona"	"04"	"5-14 years"	"5-14"	"2015"	"2015"	97	917797	10.6
	"Arizona"	"04"	"5-14 years"	"5-14"	"2016"	"2016"	111	913181	12.2
	"Arizona"	"04"	"5-14 years"	"5-14"	"2017"	"2017"	136	917062	14.8
	"Arizona"	"04"	"5-14 years"	"5-14"	"2018"	"2018"	131	928147	14.1
	"Arizona"	"04"	"5-14 years"	"5-14"	"2019"	"2019"	143	930745	15.4
	"Arizona"	"04"	"5-14 years"	"5-14"	"2020 "	"2020"	142	937060	15.2
	"Arizona"	"04"	"15-24 years"	"15-24"	"2015"	"2015"	673	948243	71.0
	"Arizona"	"04"	"15-24 years"	"15-24"	"2016"	"2016"	756	951260	79.5
	"Arizona"	"04"	"15-24 years"	"15-24"	"2017"	"2017"	739	951609	77.7
	"Arizona"	"04"	"15-24 years"	"15-24"	"2018"	"2018"	859	965970	88.9
	"Arizona"	"04"	"15-24 years"	"15-24"	"2019"	"2019"	845	973547	86.8
	"Arizona"	"04"	"15-24 years"	"15-24"	"2020 "	"2020"	1082	986272	109.7
	"Arizona"	"04"	"25-34 years"	"25-34"	"2015"	"2015"	1181	913645	129.3
	"Arizona"	"04"	"25-34 years"	"25-34"	"2016"	"2016"	1322	933128	141.7
	"Arizona"	"04"	"25-34 years"	"25-34"	"2017"	"2017"	1357	955894	142.0
	"Arizona"	"04"	"25-34 years"	"25-34"	"2018"	"2018"	1450	985845	147.1
	"Arizona"	"04"	"25-34 years"	"25-34"	"2019"	"2019"	1510	1007093	149.9
	"Arizona"	"04"	"25-34 years"	"25-34"	"2020 "	"2020"	2072	1030830	201.0
	"Arizona"	"04"	"35-44 years"	"35-44"	"2015"	"2015"	1638	841613	194.6
	"Arizona"	"04"	"35-44 years"	"35-44"	"2016"	"2016"	1608	845220	190.2
	"Arizona"	"04"	"35-44 years"	"35-44"	"2017"	"2017"	1772	858680	206.4
	"Arizona"	"04"	"35-44 years"	"35-44"	"2018"	"2018"	1720	880431	195.4
	"Arizona"	"04"	"35-44 years"	"35-44"	"2019"	"2019"	1929	896027	215.3
	"Arizona"	"04"	"35-44 years"	"35-44"	"2020 "	"2020"	2622	913916	286.9
	"Arizona"	"04"	"45-54 years"	"45-54"	"2015"	"2015"	3490	843768	413.6
	"Arizona"	"04"	"45-54 years"	"45-54"	"2016"	"2016"	3640	846897	429.8
	"Arizona"	"04"	"45-54 years"	"45-54"	"2017"	"2017"	3464	847764	408.6
	"Arizona"	"04"	"45-54 years"	"45-54"	"2018"	"2018"	3480	850790	409.0
	"Arizona"	"04"	"45-54 years"	"45-54"	"2019"	"2019"	3389	852090	397.7
	"Arizona"	"04"	"45-54 years"	"45-54"	"2020 "	"2020"	4319	859684	502.4
	"Arizona"	"04"	"55-64 years"	"55-64"	"2015"	"2015"	7039	813701	865.1
	"Arizona"	"04"	"55-64 years"	"55-64"	"2016"	"2016"	7315	831142	880.1
	"Arizona"	"04"	"55-64 years"	"55-64"	"2017"	"2017"	7215	846253	852.6
	"Arizona"	"04"	"55-64 years"	"55-64"	"2018"	"2018"	7458	866277	860.9
	"Arizona"	"04"	"55-64 years"	"55-64"	"2019"	"2019"	7462	880794	847.2
	"Arizona"	"04"	"55-64 years"	"55-64"	"2020 "	"2020"	9695	894909	1083.4
	"Arizona"	"04"	"65-74 years"	"65-74"	"2015"	"2015"	10511	653014	1609.6
	"Arizona"	"04"	"65-74 years"	"65-74"	"2016"	"2016"	11175	682820	1636.6
	"Arizona"	"04"	"65-74 years"	"65-74"	"2017"	"2017"	11439	701409	1630.9
	"Arizona"	"04"	"65-74 years"	"65-74"	"2018"	"2018"	11537	726162	1588.8
	"Arizona"	"04"	"65-74 years"	"65-74"	"2019"	"2019"	11959	751699	1590.9
	"Arizona"	"04"	"65-74 years"	"65-74"	"2020 "	"2020"	15436	786905	1961.6
	"Arizona"	"04"	"75-84 years"	"75-84"	"2015"	"2015"	13245	336251	3939.0
	"Arizona"	"04"	"75-84 years"	"75-84"	"2016"	"2016"	13547	351270	3856.6
	"Arizona"	"04"	"75-84 years"	"75-84"	"2017"	"2017"	14240	363610	3916.3
	"Arizona"	"04"	"75-84 years"	"75-84"	"2018"	"2018"	14893	389813	3820.5
	"Arizona"	"04"	"75-84 years"	"75-84"	"2019"	"2019"	15418	411197	3749.5
	"Arizona"	"04"	"75-84 years"	"75-84"	"2020 "	"2020"	19322	434972	4442.1
	"Arizona"	"04"	"85+ years"	"85+"	"2015"	"2015"	15847	130789	12116.5
	"Arizona"	"04"	"85+ years"	"85+"	"2016"	"2016"	16589	136834	12123.4
	"Arizona"	"04"	"85+ years"	"85+"	"2017"	"2017"	16821	136727	12302.6
	"Arizona"	"04"	"85+ years"	"85+"	"2018"	"2018"	17188	142275	12080.8
	"Arizona"	"04"	"85+ years"	"85+"	"2019"	"2019"	17069	145737	11712.2
	"Arizona"	"04"	"85+ years"	"85+"	"2020 "	"2020"	20546	152098	13508.4
	"Arizona"	"04"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Not Stated"	"NS"	"2016"	"2016"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Not Stated"	"NS"	"2018"	"2018"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Not Stated"	"NS"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"Not Stated"	"NS"	"2020 "	"2020"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"< 1 year"	"1"	"2015"	"2015"	293	37698	777.2
	"Arkansas"	"05"	"< 1 year"	"1"	"2016"	"2016"	309	37737	818.8
	"Arkansas"	"05"	"< 1 year"	"1"	"2017"	"2017"	307	37966	808.6
	"Arkansas"	"05"	"< 1 year"	"1"	"2018"	"2018"	279	36901	756.1
	"Arkansas"	"05"	"< 1 year"	"1"	"2019"	"2019"	251	36355	690.4
	"Arkansas"	"05"	"< 1 year"	"1"	"2020 "	"2020"	264	36035	732.6
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2015"	"2015"	43	153160	28.1
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2016"	"2016"	56	152540	36.7
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2017"	"2017"	52	153469	33.9
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2018"	"2018"	62	153442	40.4
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2019"	"2019"	54	152109	35.5
	"Arkansas"	"05"	"1-4 years"	"1-4"	"2020 "	"2020"	53	150257	35.3
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2015"	"2015"	71	394366	18.0
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2016"	"2016"	69	394061	17.5
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2017"	"2017"	72	394301	18.3
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2018"	"2018"	78	394070	19.8
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2019"	"2019"	70	393213	17.8
	"Arkansas"	"05"	"5-14 years"	"5-14"	"2020 "	"2020"	73	393670	18.5
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2015"	"2015"	377	404217	93.3
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2016"	"2016"	351	402453	87.2
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2017"	"2017"	394	401152	98.2
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2018"	"2018"	365	399345	91.4
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2019"	"2019"	389	397538	97.9
	"Arkansas"	"05"	"15-24 years"	"15-24"	"2020 "	"2020"	430	398384	107.9
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2015"	"2015"	586	388958	150.7
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2016"	"2016"	631	392755	160.7
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2017"	"2017"	614	395464	155.3
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2018"	"2018"	620	396588	156.3
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2019"	"2019"	571	396868	143.9
	"Arkansas"	"05"	"25-34 years"	"25-34"	"2020 "	"2020"	781	398873	195.8
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2015"	"2015"	999	365774	273.1
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2016"	"2016"	1026	364726	281.3
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2017"	"2017"	1012	366276	276.3
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2018"	"2018"	983	368518	266.7
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2019"	"2019"	999	370263	269.8
	"Arkansas"	"05"	"35-44 years"	"35-44"	"2020 "	"2020"	1283	372730	344.2
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2015"	"2015"	2242	382362	586.4
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2016"	"2016"	2152	378897	568.0
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2017"	"2017"	2197	374651	586.4
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2018"	"2018"	2059	368667	558.5
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2019"	"2019"	1952	361582	539.8
	"Arkansas"	"05"	"45-54 years"	"45-54"	"2020 "	"2020"	2269	358067	633.7
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2015"	"2015"	4531	374520	1209.8
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2016"	"2016"	4695	378345	1240.9
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2017"	"2017"	4737	381856	1240.5
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2018"	"2018"	4655	384467	1210.8
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2019"	"2019"	4781	385994	1238.6
	"Arkansas"	"05"	"55-64 years"	"55-64"	"2020 "	"2020"	5496	386200	1423.1
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2015"	"2015"	6548	277411	2360.4
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2016"	"2016"	6595	283580	2325.6
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2017"	"2017"	6881	290509	2368.6
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2018"	"2018"	6766	296011	2285.7
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2019"	"2019"	7053	302829	2329.0
	"Arkansas"	"05"	"65-74 years"	"65-74"	"2020 "	"2020"	8270	310489	2663.5
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2015"	"2015"	7845	143758	5457.1
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2016"	"2016"	7696	146474	5254.2
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2017"	"2017"	8066	150753	5350.5
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2018"	"2018"	8262	156799	5269.2
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2019"	"2019"	8445	161141	5240.8
	"Arkansas"	"05"	"75-84 years"	"75-84"	"2020 "	"2020"	9587	164712	5820.5
	"Arkansas"	"05"	"85+ years"	"85+"	"2015"	"2015"	8081	55980	14435.5
	"Arkansas"	"05"	"85+ years"	"85+"	"2016"	"2016"	8176	56680	14424.8
	"Arkansas"	"05"	"85+ years"	"85+"	"2017"	"2017"	8255	57882	14261.8
	"Arkansas"	"05"	"85+ years"	"85+"	"2018"	"2018"	8207	59017	13906.2
	"Arkansas"	"05"	"85+ years"	"85+"	"2019"	"2019"	8322	59912	13890.4
	"Arkansas"	"05"	"85+ years"	"85+"	"2020 "	"2020"	9600	61105	15710.7
	"Arkansas"	"05"	"Not Stated"	"NS"	"2015"	"2015"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Not Stated"	"NS"	"2016"	"2016"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Not Stated"	"NS"	"2017"	"2017"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Not Stated"	"NS"	"2018"	"2018"	0	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Not Stated"	"NS"	"2019"	"2019"	Suppressed	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Not Stated"	"NS"	"2020 "	"2020"	Suppressed	Not Applicable	Not Applicable
	"California"	"06"	"< 1 year"	"1"	"2015"	"2015"	2169	501336	432.6
	"California"	"06"	"< 1 year"	"1"	"2016"	"2016"	2057	498832	412.4
	"California"	"06"	"< 1 year"	"1"	"2017"	"2017"	1973	488479	403.9
	"California"	"06"	"< 1 year"	"1"	"2018"	"2018"	1909	477320	399.9
	"California"	"06"	"< 1 year"	"1"	"2019"	"2019"	1879	462589	406.2
	"California"	"06"	"< 1 year"	"1"	"2020 "	"2020"	1651	446864	369.5
	"California"	"06"	"1-4 years"	"1-4"	"2015"	"2015"	340	2007416	16.9
	"California"	"06"	"1-4 years"	"1-4"	"2016"	"2016"	397	1988540	20.0
	"California"	"06"	"1-4 years"	"1-4"	"2017"	"2017"	333	1983034	16.8
	"California"	"06"	"1-4 years"	"1-4"	"2018"	"2018"	342	1963980	17.4
