"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Minnesota"	"27"	"2018"	"2018"	487	1086377	44.8
	"Minnesota"	"27"	"2019"	"2019"	451	1084215	41.6
	"Minnesota"	"27"	"2020 "	"2020"	412	1079090	38.2
	"Mississippi"	"28"	"2015"	"2015"	514	602332	85.3
	"Mississippi"	"28"	"2016"	"2016"	475	595739	79.7
	"Mississippi"	"28"	"2017"	"2017"	469	590257	79.5
	"Mississippi"	"28"	"2018"	"2018"	463	585371	79.1
	"Mississippi"	"28"	"2019"	"2019"	480	579137	82.9
	"Mississippi"	"28"	"2020 "	"2020"	459	572951	80.1
	"Missouri"	"29"	"2015"	"2015"	705	1151685	61.2
	"Missouri"	"29"	"2016"	"2016"	688	1147730	59.9
	"Missouri"	"29"	"2017"	"2017"	697	1146250	60.8
	"Missouri"	"29"	"2018"	"2018"	658	1142600	57.6
	"Missouri"	"29"	"2019"	"2019"	638	1137620	56.1
	"Missouri"	"29"	"2020 "	"2020"	613	1136715	53.9
	"Montana"	"30"	"2015"	"2015"	126	188623	66.8
	"Montana"	"30"	"2016"	"2016"	118	189864	62.1
	"Montana"	"30"	"2017"	"2017"	87	191072	45.5
	"Montana"	"30"	"2018"	"2018"	93	191343	48.6
	"Montana"	"30"	"2019"	"2019"	91	190461	47.8
	"Montana"	"30"	"2020 "	"2020"	97	190783	50.8
	"Nebraska"	"31"	"2015"	"2015"	217	394263	55.0
	"Nebraska"	"31"	"2016"	"2016"	227	396601	57.2
	"Nebraska"	"31"	"2017"	"2017"	206	398315	51.7
	"Nebraska"	"31"	"2018"	"2018"	218	398790	54.7
	"Nebraska"	"31"	"2019"	"2019"	187	397176	47.1
	"Nebraska"	"31"	"2020 "	"2020"	202	395421	51.1
	"Nevada"	"32"	"2015"	"2015"	300	556780	53.9
	"Nevada"	"32"	"2016"	"2016"	312	564061	55.3
	"Nevada"	"32"	"2017"	"2017"	295	570870	51.7
	"Nevada"	"32"	"2018"	"2018"	302	574624	52.6
	"Nevada"	"32"	"2019"	"2019"	285	577641	49.3
	"Nevada"	"32"	"2020 "	"2020"	238	580574	41.0
	"New Hampshire"	"33"	"2015"	"2015"	75	213607	35.1
	"New Hampshire"	"33"	"2016"	"2016"	73	211343	34.5
	"New Hampshire"	"33"	"2017"	"2017"	71	210003	33.8
	"New Hampshire"	"33"	"2018"	"2018"	70	209494	33.4
	"New Hampshire"	"33"	"2019"	"2019"	67	207070	32.4
	"New Hampshire"	"33"	"2020 "	"2020"	76	205363	37.0
	"New Jersey"	"34"	"2015"	"2015"	678	1644217	41.2
	"New Jersey"	"34"	"2016"	"2016"	605	1631199	37.1
	"New Jersey"	"34"	"2017"	"2017"	611	1628904	37.5
	"New Jersey"	"34"	"2018"	"2018"	584	1610804	36.3
	"New Jersey"	"34"	"2019"	"2019"	602	1598657	37.7
	"New Jersey"	"34"	"2020 "	"2020"	538	1595135	33.7
	"New Mexico"	"35"	"2015"	"2015"	220	413570	53.2
	"New Mexico"	"35"	"2016"	"2016"	237	406557	58.3
	"New Mexico"	"35"	"2017"	"2017"	213	404457	52.7
	"New Mexico"	"35"	"2018"	"2018"	212	399009	53.1
	"New Mexico"	"35"	"2019"	"2019"	201	393254	51.1
	"New Mexico"	"35"	"2020 "	"2020"	187	389028	48.1
	"New York"	"36"	"2015"	"2015"	1494	3482567	42.9
	"New York"	"36"	"2016"	"2016"	1453	3456331	42.0
	"New York"	"36"	"2017"	"2017"	1452	3440745	42.2
	"New York"	"36"	"2018"	"2018"	1401	3377638	41.5
	"New York"	"36"	"2019"	"2019"	1373	3345597	41.0
	"New York"	"36"	"2020 "	"2020"	1220	3312987	36.8
	"North Carolina"	"37"	"2015"	"2015"	1207	1898371	63.6
	"North Carolina"	"37"	"2016"	"2016"	1191	1899183	62.7
	"North Carolina"	"37"	"2017"	"2017"	1163	1901425	61.2
	"North Carolina"	"37"	"2018"	"2018"	1103	1902430	58.0
	"North Carolina"	"37"	"2019"	"2019"	1110	1904242	58.3
	"North Carolina"	"37"	"2020 "	"2020"	1093	1905690	57.4
	"North Dakota"	"38"	"2015"	"2015"	103	147666	69.8
	"North Dakota"	"38"	"2016"	"2016"	96	150503	63.8
	"North Dakota"	"38"	"2017"	"2017"	69	149953	46.0
	"North Dakota"	"38"	"2018"	"2018"	83	152549	54.4
	"North Dakota"	"38"	"2019"	"2019"	103	153596	67.1
	"North Dakota"	"38"	"2020 "	"2020"	89	154241	57.7
	"Ohio"	"39"	"2015"	"2015"	1344	2161830	62.2
	"Ohio"	"39"	"2016"	"2016"	1393	2148401	64.8
	"Ohio"	"39"	"2017"	"2017"	1359	2145937	63.3
	"Ohio"	"39"	"2018"	"2018"	1299	2140724	60.7
	"Ohio"	"39"	"2019"	"2019"	1283	2131107	60.2
	"Ohio"	"39"	"2020 "	"2020"	1212	2122841	57.1
	"Oklahoma"	"40"	"2015"	"2015"	580	803361	72.2
	"Oklahoma"	"40"	"2016"	"2016"	556	803241	69.2
	"Oklahoma"	"40"	"2017"	"2017"	551	800624	68.8
	"Oklahoma"	"40"	"2018"	"2018"	507	798336	63.5
	"Oklahoma"	"40"	"2019"	"2019"	508	793581	64.0
	"Oklahoma"	"40"	"2020 "	"2020"	449	793574	56.6
	"Oregon"	"41"	"2015"	"2015"	315	714249	44.1
	"Oregon"	"41"	"2016"	"2016"	306	720183	42.5
	"Oregon"	"41"	"2017"	"2017"	360	725223	49.6
	"Oregon"	"41"	"2018"	"2018"	268	726003	36.9
	"Oregon"	"41"	"2019"	"2019"	280	719347	38.9
	"Oregon"	"41"	"2020 "	"2020"	256	712566	35.9
	"Pennsylvania"	"42"	"2015"	"2015"	1171	2211041	53.0
	"Pennsylvania"	"42"	"2016"	"2016"	1200	2197884	54.6
	"Pennsylvania"	"42"	"2017"	"2017"	1139	2192936	51.9
	"Pennsylvania"	"42"	"2018"	"2018"	1135	2183844	52.0
	"Pennsylvania"	"42"	"2019"	"2019"	1110	2173564	51.1
	"Pennsylvania"	"42"	"2020 "	"2020"	1052	2159916	48.7
	"Rhode Island"	"44"	"2015"	"2015"	81	172530	46.9
	"Rhode Island"	"44"	"2016"	"2016"	82	170395	48.1
	"Rhode Island"	"44"	"2017"	"2017"	81	169742	47.7
	"Rhode Island"	"44"	"2018"	"2018"	72	168074	42.8
	"Rhode Island"	"44"	"2019"	"2019"	80	167389	47.8
	"Rhode Island"	"44"	"2020 "	"2020"	65	165566	39.3
	"South Carolina"	"45"	"2015"	"2015"	577	905280	63.7
	"South Carolina"	"45"	"2016"	"2016"	569	909577	62.6
	"South Carolina"	"45"	"2017"	"2017"	561	915372	61.3
	"South Carolina"	"45"	"2018"	"2018"	570	918200	62.1
	"South Carolina"	"45"	"2019"	"2019"	567	923180	61.4
	"South Carolina"	"45"	"2020 "	"2020"	527	927435	56.8
	"South Dakota"	"46"	"2015"	"2015"	135	178035	75.8
	"South Dakota"	"46"	"2016"	"2016"	105	179688	58.4
	"South Dakota"	"46"	"2017"	"2017"	150	181434	82.7
	"South Dakota"	"46"	"2018"	"2018"	107	183776	58.2
	"South Dakota"	"46"	"2019"	"2019"	112	182833	61.3
	"South Dakota"	"46"	"2020 "	"2020"	116	183136	63.3
	"Tennessee"	"47"	"2015"	"2015"	790	1239982	63.7
	"Tennessee"	"47"	"2016"	"2016"	850	1242807	68.4
	"Tennessee"	"47"	"2017"	"2017"	858	1248141	68.7
	"Tennessee"	"47"	"2018"	"2018"	799	1249028	64.0
	"Tennessee"	"47"	"2019"	"2019"	792	1253286	63.2
	"Tennessee"	"47"	"2020 "	"2020"	716	1254988	57.1
	"Texas"	"48"	"2015"	"2015"	3278	6025831	54.4
	"Texas"	"48"	"2016"	"2016"	3315	6086552	54.5
	"Texas"	"48"	"2017"	"2017"	3229	6138042	52.6
	"Texas"	"48"	"2018"	"2018"	3082	6163292	50.0
	"Texas"	"48"	"2019"	"2019"	3069	6157593	49.8
	"Texas"	"48"	"2020 "	"2020"	2953	6175300	47.8
	"Utah"	"49"	"2015"	"2015"	371	767523	48.3
	"Utah"	"49"	"2016"	"2016"	392	773697	50.7
	"Utah"	"49"	"2017"	"2017"	390	776531	50.2
	"Utah"	"49"	"2018"	"2018"	360	778881	46.2
	"Utah"	"49"	"2019"	"2019"	368	774764	47.5
	"Utah"	"49"	"2020 "	"2020"	350	769605	45.5
	"Vermont"	"50"	"2015"	"2015"	35	97232	36.0
	"Vermont"	"50"	"2016"	"2016"	33	96558	34.2
	"Vermont"	"50"	"2017"	"2017"	38	95508	39.8
	"Vermont"	"50"	"2018"	"2018"	42	94714	44.3
	"Vermont"	"50"	"2019"	"2019"	30	93199	32.2
	"Vermont"	"50"	"2020 "	"2020"	27	92323	29.2
	"Virginia"	"51"	"2015"	"2015"	838	1555011	53.9
	"Virginia"	"51"	"2016"	"2016"	812	1551740	52.3
	"Virginia"	"51"	"2017"	"2017"	804	1551365	51.8
	"Virginia"	"51"	"2018"	"2018"	774	1553743	49.8
	"Virginia"	"51"	"2019"	"2019"	770	1545598	49.8
	"Virginia"	"51"	"2020 "	"2020"	768	1548688	49.6
	"Washington"	"53"	"2015"	"2015"	617	1342606	46.0
	"Washington"	"53"	"2016"	"2016"	552	1358873	40.6
	"Washington"	"53"	"2017"	"2017"	482	1374816	35.1
	"Washington"	"53"	"2018"	"2018"	572	1392419	41.1
	"Washington"	"53"	"2019"	"2019"	535	1392247	38.4
	"Washington"	"53"	"2020 "	"2020"	546	1392400	39.2
	"West Virginia"	"54"	"2015"	"2015"	195	313403	62.2
	"West Virginia"	"54"	"2016"	"2016"	203	309619	65.6
	"West Virginia"	"54"	"2017"	"2017"	184	305206	60.3
	"West Virginia"	"54"	"2018"	"2018"	186	300688	61.9
	"West Virginia"	"54"	"2019"	"2019"	160	296497	54.0
	"West Virginia"	"54"	"2020 "	"2020"	191	293530	65.1
	"Wisconsin"	"55"	"2015"	"2015"	541	1068455	50.6
	"Wisconsin"	"55"	"2016"	"2016"	578	1061521	54.5
	"Wisconsin"	"55"	"2017"	"2017"	559	1057846	52.8
	"Wisconsin"	"55"	"2018"	"2018"	545	1053529	51.7
	"Wisconsin"	"55"	"2019"	"2019"	538	1044527	51.5
	"Wisconsin"	"55"	"2020 "	"2020"	510	1036188	49.2
	"Wyoming"	"56"	"2015"	"2015"	63	116880	53.9
	"Wyoming"	"56"	"2016"	"2016"	56	116796	47.9
	"Wyoming"	"56"	"2017"	"2017"	46	114663	40.1
	"Wyoming"	"56"	"2018"	"2018"	50	112863	44.3
	"Wyoming"	"56"	"2019"	"2019"	66	111665	59.1
	"Wyoming"	"56"	"2020 "	"2020"	52	110372	47.1
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Ten-Year Age Groups: < 1 year; 1-4 years; 5-14 years"
"Year/Month: 2015; 2016; 2017; 2018; 2019; 2020"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Jun 3, 2024 6:19:35 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Jun 3, 2024 6:19:35 AM"
"---"
Caveats:
"1. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"2. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. The population figures for year 2011 are bridged-race estimates of the July"
"1 resident population, from the Vintage 2011 postcensal series released by NCHS on July 18, 2012. Population figures for 2010"
"are April 1 Census counts. The population figures for years 2001 - 2009 are bridged-race estimates of the July 1 resident"
"population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012. Population"
"figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of July 1"
"estimates. Population figures for the infant age groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"3. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Age Group."
