"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"Certain infectious and parasitic diseases"	"A00-B99"	4582	4874747	94.0
	"Alabama"	"01"	"2017"	"2017"	"Neoplasms"	"C00-D48"	11345	4874747	232.7
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1037	4874747	21.3
	"Alabama"	"01"	"2017"	"2017"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	5749	4874747	117.9
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders"	"F01-F99"	7925	4874747	162.6
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the nervous system"	"G00-G98"	5867	4874747	120.4
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the eye and adnexa"	"H00-H59"	24	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the ear and mastoid process"	"H60-H95"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	26985	4874747	553.6
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the respiratory system"	"J00-J98"	12849	4874747	263.6
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the digestive system"	"K00-K92"	3310	4874747	67.9
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	317	4874747	6.5
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	624	4874747	12.8
	"Alabama"	"01"	"2017"	"2017"	"Diseases of the genitourinary system"	"N00-N99"	4403	4874747	90.3
	"Alabama"	"01"	"2017"	"2017"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	50	4874747	1.0
	"Alabama"	"01"	"2017"	"2017"	"Certain conditions originating in the perinatal period"	"P00-P96"	247	4874747	5.1
	"Alabama"	"01"	"2017"	"2017"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	206	4874747	4.2
	"Alabama"	"01"	"2017"	"2017"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	7275	4874747	149.2
	"Alabama"	"01"	"2017"	"2017"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	4841	4874747	99.3
	"Alabama"	"01"	"2017"	"2017"	"Codes for special purposes"	"U00-U99"	0	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	5036	4874747	103.3
	"Alabama"	"01"	"2018"	"2018"	"Certain infectious and parasitic diseases"	"A00-B99"	4531	4887871	92.7
	"Alabama"	"01"	"2018"	"2018"	"Neoplasms"	"C00-D48"	11601	4887871	237.3
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1086	4887871	22.2
	"Alabama"	"01"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	5926	4887871	121.2
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders"	"F01-F99"	7886	4887871	161.3
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	6288	4887871	128.6
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the eye and adnexa"	"H00-H59"	18	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the ear and mastoid process"	"H60-H95"	15	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	27812	4887871	569.0
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	13279	4887871	271.7
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	3437	4887871	70.3
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	334	4887871	6.8
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	657	4887871	13.4
	"Alabama"	"01"	"2018"	"2018"	"Diseases of the genitourinary system"	"N00-N99"	4630	4887871	94.7
	"Alabama"	"01"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	51	4887871	1.0
	"Alabama"	"01"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	262	4887871	5.4
	"Alabama"	"01"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	223	4887871	4.6
	"Alabama"	"01"	"2018"	"2018"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	8869	4887871	181.4
	"Alabama"	"01"	"2018"	"2018"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	4706	4887871	96.3
	"Alabama"	"01"	"2018"	"2018"	"Codes for special purposes"	"U00-U99"	0	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	4910	4887871	100.5
	"Alabama"	"01"	"2019"	"2019"	"Certain infectious and parasitic diseases"	"A00-B99"	4534	4903185	92.5
	"Alabama"	"01"	"2019"	"2019"	"Neoplasms"	"C00-D48"	11237	4903185	229.2
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1159	4903185	23.6
	"Alabama"	"01"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	6149	4903185	125.4
	"Alabama"	"01"	"2019"	"2019"	"Mental and behavioural disorders"	"F01-F99"	7753	4903185	158.1
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	6576	4903185	134.1
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the eye and adnexa"	"H00-H59"	20	4903185	0.4
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the ear and mastoid process"	"H60-H95"	12	4903185	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	27990	4903185	570.9
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	13084	4903185	266.8
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the digestive system"	"K00-K92"	3456	4903185	70.5
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	300	4903185	6.1
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	739	4903185	15.1
	"Alabama"	"01"	"2019"	"2019"	"Diseases of the genitourinary system"	"N00-N99"	4669	4903185	95.2
	"Alabama"	"01"	"2019"	"2019"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	65	4903185	1.3
	"Alabama"	"01"	"2019"	"2019"	"Certain conditions originating in the perinatal period"	"P00-P96"	268	4903185	5.5
	"Alabama"	"01"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	204	4903185	4.2
	"Alabama"	"01"	"2019"	"2019"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	9100	4903185	185.6
	"Alabama"	"01"	"2019"	"2019"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	4757	4903185	97.0
	"Alabama"	"01"	"2019"	"2019"	"Codes for special purposes"	"U00-U99"	0	4903185	Unreliable
	"Alabama"	"01"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	5118	4903185	104.4
	"Alaska"	"02"	"2015"	"2015"	"Certain infectious and parasitic diseases"	"A00-B99"	307	738432	41.6
	"Alaska"	"02"	"2015"	"2015"	"Neoplasms"	"C00-D48"	1104	738432	149.5
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	92	738432	12.5
	"Alaska"	"02"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	568	738432	76.9
	"Alaska"	"02"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	1240	738432	167.9
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	353	738432	47.8
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	738432	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	738432	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	1940	738432	262.7
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	958	738432	129.7
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	429	738432	58.1
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	36	738432	4.9
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	82	738432	11.1
	"Alaska"	"02"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	345	738432	46.7
	"Alaska"	"02"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	738432	Suppressed
	"Alaska"	"02"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	39	738432	5.3
	"Alaska"	"02"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	43	738432	5.8
	"Alaska"	"02"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	636	738432	86.1
	"Alaska"	"02"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	795	738432	107.7
	"Alaska"	"02"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	0	738432	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	814	738432	110.2
	"Alaska"	"02"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	380	741894	51.2
	"Alaska"	"02"	"2016"	"2016"	"Neoplasms"	"C00-D48"	1105	741894	148.9
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	113	741894	15.2
	"Alaska"	"02"	"2016"	"2016"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	610	741894	82.2
	"Alaska"	"02"	"2016"	"2016"	"Mental and behavioural disorders"	"F01-F99"	1283	741894	172.9
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the nervous system"	"G00-G98"	413	741894	55.7
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	741894	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the ear and mastoid process"	"H60-H95"	0	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	2051	741894	276.5
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the respiratory system"	"J00-J98"	1026	741894	138.3
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the digestive system"	"K00-K92"	487	741894	65.6
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	43	741894	5.8
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	89	741894	12.0
	"Alaska"	"02"	"2016"	"2016"	"Diseases of the genitourinary system"	"N00-N99"	371	741894	50.0
	"Alaska"	"02"	"2016"	"2016"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	741894	Suppressed
	"Alaska"	"02"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	26	741894	3.5
	"Alaska"	"02"	"2016"	"2016"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	34	741894	4.6
	"Alaska"	"02"	"2016"	"2016"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	669	741894	90.2
	"Alaska"	"02"	"2016"	"2016"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	841	741894	113.4
	"Alaska"	"02"	"2016"	"2016"	"Codes for special purposes"	"U00-U99"	0	741894	Unreliable
	"Alaska"	"02"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	877	741894	118.2
	"Alaska"	"02"	"2017"	"2017"	"Certain infectious and parasitic diseases"	"A00-B99"	353	739795	47.7
	"Alaska"	"02"	"2017"	"2017"	"Neoplasms"	"C00-D48"	1052	739795	142.2
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	113	739795	15.3
	"Alaska"	"02"	"2017"	"2017"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	629	739795	85.0
	"Alaska"	"02"	"2017"	"2017"	"Mental and behavioural disorders"	"F01-F99"	1162	739795	157.1
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the nervous system"	"G00-G98"	421	739795	56.9
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the eye and adnexa"	"H00-H59"	0	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	739795	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the circulatory system"	"I00-I99"	2027	739795	274.0
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the respiratory system"	"J00-J98"	980	739795	132.5
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the digestive system"	"K00-K92"	473	739795	63.9
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	40	739795	5.4
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	88	739795	11.9
	"Alaska"	"02"	"2017"	"2017"	"Diseases of the genitourinary system"	"N00-N99"	343	739795	46.4
	"Alaska"	"02"	"2017"	"2017"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	739795	Suppressed
	"Alaska"	"02"	"2017"	"2017"	"Certain conditions originating in the perinatal period"	"P00-P96"	33	739795	4.5
	"Alaska"	"02"	"2017"	"2017"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	47	739795	6.4
	"Alaska"	"02"	"2017"	"2017"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	663	739795	89.6
	"Alaska"	"02"	"2017"	"2017"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	864	739795	116.8
	"Alaska"	"02"	"2017"	"2017"	"Codes for special purposes"	"U00-U99"	0	739795	Unreliable
	"Alaska"	"02"	"2017"	"2017"	"External causes of morbidity and mortality"	"V01-Y89"	898	739795	121.4
	"Alaska"	"02"	"2018"	"2018"	"Certain infectious and parasitic diseases"	"A00-B99"	370	737438	50.2
	"Alaska"	"02"	"2018"	"2018"	"Neoplasms"	"C00-D48"	1084	737438	147.0
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	95	737438	12.9
	"Alaska"	"02"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	625	737438	84.8
	"Alaska"	"02"	"2018"	"2018"	"Mental and behavioural disorders"	"F01-F99"	1230	737438	166.8
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	465	737438	63.1
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	737438	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the ear and mastoid process"	"H60-H95"	0	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	2057	737438	278.9
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	970	737438	131.5
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	462	737438	62.6
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	44	737438	6.0
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	73	737438	9.9
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the genitourinary system"	"N00-N99"	337	737438	45.7
	"Alaska"	"02"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	737438	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	35	737438	4.7
	"Alaska"	"02"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	37	737438	5.0
	"Alaska"	"02"	"2018"	"2018"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	692	737438	93.8
	"Alaska"	"02"	"2018"	"2018"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	813	737438	110.2
	"Alaska"	"02"	"2018"	"2018"	"Codes for special purposes"	"U00-U99"	0	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	845	737438	114.6
	"Alaska"	"02"	"2019"	"2019"	"Certain infectious and parasitic diseases"	"A00-B99"	408	731545	55.8
	"Alaska"	"02"	"2019"	"2019"	"Neoplasms"	"C00-D48"	1142	731545	156.1
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	112	731545	15.3
	"Alaska"	"02"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	667	731545	91.2
	"Alaska"	"02"	"2019"	"2019"	"Mental and behavioural disorders"	"F01-F99"	1370	731545	187.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	493	731545	67.4
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	731545	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the ear and mastoid process"	"H60-H95"	0	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	2118	731545	289.5
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	1038	731545	141.9
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the digestive system"	"K00-K92"	492	731545	67.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	46	731545	6.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	80	731545	10.9
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the genitourinary system"	"N00-N99"	394	731545	53.9
	"Alaska"	"02"	"2019"	"2019"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	731545	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Certain conditions originating in the perinatal period"	"P00-P96"	25	731545	3.4
	"Alaska"	"02"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	44	731545	6.0
	"Alaska"	"02"	"2019"	"2019"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	754	731545	103.1
	"Alaska"	"02"	"2019"	"2019"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	871	731545	119.1
	"Alaska"	"02"	"2019"	"2019"	"Codes for special purposes"	"U00-U99"	0	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	925	731545	126.4
	"Arizona"	"04"	"2015"	"2015"	"Certain infectious and parasitic diseases"	"A00-B99"	4621	6828065	67.7
	"Arizona"	"04"	"2015"	"2015"	"Neoplasms"	"C00-D48"	13240	6828065	193.9
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1439	6828065	21.1
	"Arizona"	"04"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	8482	6828065	124.2
	"Arizona"	"04"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	11473	6828065	168.0
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	6826	6828065	100.0
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	40	6828065	0.6
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	10	6828065	Unreliable
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	27692	6828065	405.6
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	14277	6828065	209.1
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	4517	6828065	66.2
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	395	6828065	5.8
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	1086	6828065	15.9
	"Arizona"	"04"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	4070	6828065	59.6
	"Arizona"	"04"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	32	6828065	0.5
	"Arizona"	"04"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	297	6828065	4.3
	"Arizona"	"04"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	358	6828065	5.2
	"Arizona"	"04"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	9874	6828065	144.6
	"Arizona"	"04"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	6317	6828065	92.5
	"Arizona"	"04"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	0	6828065	Unreliable
	"Arizona"	"04"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	6595	6828065	96.6
	"Arizona"	"04"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	4993	6931071	72.0
	"Arizona"	"04"	"2016"	"2016"	"Neoplasms"	"C00-D48"	13458	6931071	194.2
	"Arizona"	"04"	"2016"	"2016"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1393	6931071	20.1
