"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Projected Populations
	"0-4 years"	"0-4"	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	300654
	"0-4 years"	"0-4"	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	318500
	"0-4 years"	"0-4"	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	306193
	"0-4 years"	"0-4"	"Arizona"	"04"	"2020"	"2020"	"Male"	"M"	324408
	"0-4 years"	"0-4"	"Arizona"	"04"	"2021"	"2021"	"Female"	"F"	311849
	"0-4 years"	"0-4"	"Arizona"	"04"	"2021"	"2021"	"Male"	"M"	330445
	"0-4 years"	"0-4"	"Arizona"	"04"	"2022"	"2022"	"Female"	"F"	317655
	"0-4 years"	"0-4"	"Arizona"	"04"	"2022"	"2022"	"Male"	"M"	336648
	"0-4 years"	"0-4"	"Arizona"	"04"	"2023"	"2023"	"Female"	"F"	323615
	"0-4 years"	"0-4"	"Arizona"	"04"	"2023"	"2023"	"Male"	"M"	343011
	"0-4 years"	"0-4"	"Arizona"	"04"	"2024"	"2024"	"Female"	"F"	329733
	"0-4 years"	"0-4"	"Arizona"	"04"	"2024"	"2024"	"Male"	"M"	349549
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2013"	"2013"	"Female"	"F"	95423
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2013"	"2013"	"Male"	"M"	100257
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	95658
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	100527
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	95974
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	100881
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	96319
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	101262
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	96729
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	101705
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	97215
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	102231
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2019"	"2019"	"Female"	"F"	97776
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2019"	"2019"	"Male"	"M"	102848
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2020"	"2020"	"Female"	"F"	98414
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2020"	"2020"	"Male"	"M"	103556
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2021"	"2021"	"Female"	"F"	99164
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2021"	"2021"	"Male"	"M"	104367
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2022"	"2022"	"Female"	"F"	99990
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2022"	"2022"	"Male"	"M"	105281
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2023"	"2023"	"Female"	"F"	100883
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2023"	"2023"	"Male"	"M"	106266
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2024"	"2024"	"Female"	"F"	101853
	"0-4 years"	"0-4"	"Arkansas"	"05"	"2024"	"2024"	"Male"	"M"	107321
	"0-4 years"	"0-4"	"California"	"06"	"2013"	"2013"	"Female"	"F"	1457557
	"0-4 years"	"0-4"	"California"	"06"	"2013"	"2013"	"Male"	"M"	1519957
	"0-4 years"	"0-4"	"California"	"06"	"2014"	"2014"	"Female"	"F"	1475339
	"0-4 years"	"0-4"	"California"	"06"	"2014"	"2014"	"Male"	"M"	1538276
	"0-4 years"	"0-4"	"California"	"06"	"2015"	"2015"	"Female"	"F"	1490920
	"0-4 years"	"0-4"	"California"	"06"	"2015"	"2015"	"Male"	"M"	1554272
	"0-4 years"	"0-4"	"California"	"06"	"2016"	"2016"	"Female"	"F"	1504260
	"0-4 years"	"0-4"	"California"	"06"	"2016"	"2016"	"Male"	"M"	1567922
	"0-4 years"	"0-4"	"California"	"06"	"2017"	"2017"	"Female"	"F"	1515276
	"0-4 years"	"0-4"	"California"	"06"	"2017"	"2017"	"Male"	"M"	1579086
	"0-4 years"	"0-4"	"California"	"06"	"2018"	"2018"	"Female"	"F"	1523801
	"0-4 years"	"0-4"	"California"	"06"	"2018"	"2018"	"Male"	"M"	1587825
	"0-4 years"	"0-4"	"California"	"06"	"2019"	"2019"	"Female"	"F"	1530301
	"0-4 years"	"0-4"	"California"	"06"	"2019"	"2019"	"Male"	"M"	1594367
	"0-4 years"	"0-4"	"California"	"06"	"2020"	"2020"	"Female"	"F"	1534935
	"0-4 years"	"0-4"	"California"	"06"	"2020"	"2020"	"Male"	"M"	1599030
	"0-4 years"	"0-4"	"California"	"06"	"2021"	"2021"	"Female"	"F"	1538171
	"0-4 years"	"0-4"	"California"	"06"	"2021"	"2021"	"Male"	"M"	1602115
	"0-4 years"	"0-4"	"California"	"06"	"2022"	"2022"	"Female"	"F"	1540118
	"0-4 years"	"0-4"	"California"	"06"	"2022"	"2022"	"Male"	"M"	1603942
	"0-4 years"	"0-4"	"California"	"06"	"2023"	"2023"	"Female"	"F"	1541211
	"0-4 years"	"0-4"	"California"	"06"	"2023"	"2023"	"Male"	"M"	1604842
	"0-4 years"	"0-4"	"California"	"06"	"2024"	"2024"	"Female"	"F"	1541537
	"0-4 years"	"0-4"	"California"	"06"	"2024"	"2024"	"Male"	"M"	1604889
	"0-4 years"	"0-4"	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	176865
	"0-4 years"	"0-4"	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	186427
	"0-4 years"	"0-4"	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	178499
	"0-4 years"	"0-4"	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	188152
	"0-4 years"	"0-4"	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	180098
	"0-4 years"	"0-4"	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	189844
	"0-4 years"	"0-4"	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	181725
	"0-4 years"	"0-4"	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	191550
	"0-4 years"	"0-4"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	183379
	"0-4 years"	"0-4"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	193312
	"0-4 years"	"0-4"	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	185094
	"0-4 years"	"0-4"	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	195132
	"0-4 years"	"0-4"	"Colorado"	"08"	"2019"	"2019"	"Female"	"F"	186870
	"0-4 years"	"0-4"	"Colorado"	"08"	"2019"	"2019"	"Male"	"M"	196999
	"0-4 years"	"0-4"	"Colorado"	"08"	"2020"	"2020"	"Female"	"F"	188691
	"0-4 years"	"0-4"	"Colorado"	"08"	"2020"	"2020"	"Male"	"M"	198926
	"0-4 years"	"0-4"	"Colorado"	"08"	"2021"	"2021"	"Female"	"F"	190525
	"0-4 years"	"0-4"	"Colorado"	"08"	"2021"	"2021"	"Male"	"M"	200893
	"0-4 years"	"0-4"	"Colorado"	"08"	"2022"	"2022"	"Female"	"F"	192384
	"0-4 years"	"0-4"	"Colorado"	"08"	"2022"	"2022"	"Male"	"M"	202848
	"0-4 years"	"0-4"	"Colorado"	"08"	"2023"	"2023"	"Female"	"F"	194248
	"0-4 years"	"0-4"	"Colorado"	"08"	"2023"	"2023"	"Male"	"M"	204809
	"0-4 years"	"0-4"	"Colorado"	"08"	"2024"	"2024"	"Female"	"F"	196097
	"0-4 years"	"0-4"	"Colorado"	"08"	"2024"	"2024"	"Male"	"M"	206767
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	109809
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	114450
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	110871
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	115603
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	111858
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	116689
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	112726
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	117639
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	113418
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	118416
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	113949
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	119024
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	114296
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	119429
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	114432
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	119623
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	114396
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	119626
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2022"	"2022"	"Female"	"F"	114183
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2022"	"2022"	"Male"	"M"	119440
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2023"	"2023"	"Female"	"F"	113801
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2023"	"2023"	"Male"	"M"	119090
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2024"	"2024"	"Female"	"F"	113276
	"0-4 years"	"0-4"	"Connecticut"	"09"	"2024"	"2024"	"Male"	"M"	118592
	"0-4 years"	"0-4"	"Delaware"	"10"	"2013"	"2013"	"Female"	"F"	28856
	"0-4 years"	"0-4"	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	30905
	"0-4 years"	"0-4"	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	29002
	"0-4 years"	"0-4"	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	31079
	"0-4 years"	"0-4"	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	29096
	"0-4 years"	"0-4"	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	31195
	"0-4 years"	"0-4"	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	29154
	"0-4 years"	"0-4"	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	31259
	"0-4 years"	"0-4"	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	29175
	"0-4 years"	"0-4"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	31296
	"0-4 years"	"0-4"	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	29182
	"0-4 years"	"0-4"	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	31307
	"0-4 years"	"0-4"	"Delaware"	"10"	"2019"	"2019"	"Female"	"F"	29172
	"0-4 years"	"0-4"	"Delaware"	"10"	"2019"	"2019"	"Male"	"M"	31311
	"0-4 years"	"0-4"	"Delaware"	"10"	"2020"	"2020"	"Female"	"F"	29148
	"0-4 years"	"0-4"	"Delaware"	"10"	"2020"	"2020"	"Male"	"M"	31306
	"0-4 years"	"0-4"	"Delaware"	"10"	"2021"	"2021"	"Female"	"F"	29131
	"0-4 years"	"0-4"	"Delaware"	"10"	"2021"	"2021"	"Male"	"M"	31295
	"0-4 years"	"0-4"	"Delaware"	"10"	"2022"	"2022"	"Female"	"F"	29121
	"0-4 years"	"0-4"	"Delaware"	"10"	"2022"	"2022"	"Male"	"M"	31283
	"0-4 years"	"0-4"	"Delaware"	"10"	"2023"	"2023"	"Female"	"F"	29112
	"0-4 years"	"0-4"	"Delaware"	"10"	"2023"	"2023"	"Male"	"M"	31268
	"0-4 years"	"0-4"	"Delaware"	"10"	"2024"	"2024"	"Female"	"F"	29102
	"0-4 years"	"0-4"	"Delaware"	"10"	"2024"	"2024"	"Male"	"M"	31256
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2013"	"2013"	"Female"	"F"	20050
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	20974
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	19815
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	20725
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	19492
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	20399
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	19127
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	20004
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2017"	"2017"	"Female"	"F"	18712
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2017"	"2017"	"Male"	"M"	19578
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	18300
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	19159
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2019"	"2019"	"Female"	"F"	17915
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2019"	"2019"	"Male"	"M"	18769
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2020"	"2020"	"Female"	"F"	17558
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2020"	"2020"	"Male"	"M"	18415
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2021"	"2021"	"Female"	"F"	17268
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2021"	"2021"	"Male"	"M"	18105
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2022"	"2022"	"Female"	"F"	17028
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2022"	"2022"	"Male"	"M"	17848
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2023"	"2023"	"Female"	"F"	16837
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2023"	"2023"	"Male"	"M"	17636
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2024"	"2024"	"Female"	"F"	16680
	"0-4 years"	"0-4"	"District of Columbia"	"11"	"2024"	"2024"	"Male"	"M"	17472
	"0-4 years"	"0-4"	"Florida"	"12"	"2013"	"2013"	"Female"	"F"	615184
	"0-4 years"	"0-4"	"Florida"	"12"	"2013"	"2013"	"Male"	"M"	640212
	"0-4 years"	"0-4"	"Florida"	"12"	"2014"	"2014"	"Female"	"F"	624390
	"0-4 years"	"0-4"	"Florida"	"12"	"2014"	"2014"	"Male"	"M"	649852
	"0-4 years"	"0-4"	"Florida"	"12"	"2015"	"2015"	"Female"	"F"	633177
	"0-4 years"	"0-4"	"Florida"	"12"	"2015"	"2015"	"Male"	"M"	659033
	"0-4 years"	"0-4"	"Florida"	"12"	"2016"	"2016"	"Female"	"F"	641469
	"0-4 years"	"0-4"	"Florida"	"12"	"2016"	"2016"	"Male"	"M"	667723
	"0-4 years"	"0-4"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	649443
	"0-4 years"	"0-4"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	676088
	"0-4 years"	"0-4"	"Florida"	"12"	"2018"	"2018"	"Female"	"F"	657331
	"0-4 years"	"0-4"	"Florida"	"12"	"2018"	"2018"	"Male"	"M"	684348
	"0-4 years"	"0-4"	"Florida"	"12"	"2019"	"2019"	"Female"	"F"	665376
	"0-4 years"	"0-4"	"Florida"	"12"	"2019"	"2019"	"Male"	"M"	692793
	"0-4 years"	"0-4"	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	673814
	"0-4 years"	"0-4"	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	701631
	"0-4 years"	"0-4"	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	682828
	"0-4 years"	"0-4"	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	711087
	"0-4 years"	"0-4"	"Florida"	"12"	"2022"	"2022"	"Female"	"F"	692581
	"0-4 years"	"0-4"	"Florida"	"12"	"2022"	"2022"	"Male"	"M"	721315
	"0-4 years"	"0-4"	"Florida"	"12"	"2023"	"2023"	"Female"	"F"	703153
	"0-4 years"	"0-4"	"Florida"	"12"	"2023"	"2023"	"Male"	"M"	732378
	"0-4 years"	"0-4"	"Florida"	"12"	"2024"	"2024"	"Female"	"F"	714561
	"0-4 years"	"0-4"	"Florida"	"12"	"2024"	"2024"	"Male"	"M"	744299
	"0-4 years"	"0-4"	"Georgia"	"13"	"2013"	"2013"	"Female"	"F"	370322
	"0-4 years"	"0-4"	"Georgia"	"13"	"2013"	"2013"	"Male"	"M"	387659
	"0-4 years"	"0-4"	"Georgia"	"13"	"2014"	"2014"	"Female"	"F"	374464
	"0-4 years"	"0-4"	"Georgia"	"13"	"2014"	"2014"	"Male"	"M"	391800
	"0-4 years"	"0-4"	"Georgia"	"13"	"2015"	"2015"	"Female"	"F"	378361
	"0-4 years"	"0-4"	"Georgia"	"13"	"2015"	"2015"	"Male"	"M"	395678
	"0-4 years"	"0-4"	"Georgia"	"13"	"2016"	"2016"	"Female"	"F"	382212
	"0-4 years"	"0-4"	"Georgia"	"13"	"2016"	"2016"	"Male"	"M"	399497
	"0-4 years"	"0-4"	"Georgia"	"13"	"2017"	"2017"	"Female"	"F"	386163
	"0-4 years"	"0-4"	"Georgia"	"13"	"2017"	"2017"	"Male"	"M"	403388
	"0-4 years"	"0-4"	"Georgia"	"13"	"2018"	"2018"	"Female"	"F"	390369
	"0-4 years"	"0-4"	"Georgia"	"13"	"2018"	"2018"	"Male"	"M"	407536
	"0-4 years"	"0-4"	"Georgia"	"13"	"2019"	"2019"	"Female"	"F"	394923
	"0-4 years"	"0-4"	"Georgia"	"13"	"2019"	"2019"	"Male"	"M"	412020
	"0-4 years"	"0-4"	"Georgia"	"13"	"2020"	"2020"	"Female"	"F"	399896
	"0-4 years"	"0-4"	"Georgia"	"13"	"2020"	"2020"	"Male"	"M"	416926
	"0-4 years"	"0-4"	"Georgia"	"13"	"2021"	"2021"	"Female"	"F"	405210
	"0-4 years"	"0-4"	"Georgia"	"13"	"2021"	"2021"	"Male"	"M"	422170
	"0-4 years"	"0-4"	"Georgia"	"13"	"2022"	"2022"	"Female"	"F"	410814
	"0-4 years"	"0-4"	"Georgia"	"13"	"2022"	"2022"	"Male"	"M"	427682
	"0-4 years"	"0-4"	"Georgia"	"13"	"2023"	"2023"	"Female"	"F"	416540
	"0-4 years"	"0-4"	"Georgia"	"13"	"2023"	"2023"	"Male"	"M"	433310
	"0-4 years"	"0-4"	"Georgia"	"13"	"2024"	"2024"	"Female"	"F"	422286
	"0-4 years"	"0-4"	"Georgia"	"13"	"2024"	"2024"	"Male"	"M"	438943
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2013"	"2013"	"Female"	"F"	49662
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2013"	"2013"	"Male"	"M"	52132
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2014"	"2014"	"Female"	"F"	49646
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2014"	"2014"	"Male"	"M"	52117
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2015"	"2015"	"Female"	"F"	49568
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2015"	"2015"	"Male"	"M"	52021
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2016"	"2016"	"Female"	"F"	49355
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2016"	"2016"	"Male"	"M"	51784
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2017"	"2017"	"Female"	"F"	49046
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2017"	"2017"	"Male"	"M"	51438
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2018"	"2018"	"Female"	"F"	48657
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2018"	"2018"	"Male"	"M"	51053
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2019"	"2019"	"Female"	"F"	48237
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2019"	"2019"	"Male"	"M"	50612
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2020"	"2020"	"Female"	"F"	47817
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2020"	"2020"	"Male"	"M"	50162
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2021"	"2021"	"Female"	"F"	47404
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2021"	"2021"	"Male"	"M"	49734
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2022"	"2022"	"Female"	"F"	47047
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2022"	"2022"	"Male"	"M"	49369
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2023"	"2023"	"Female"	"F"	46740
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2023"	"2023"	"Male"	"M"	49015
	"0-4 years"	"0-4"	"Hawaii"	"15"	"2024"	"2024"	"Female"	"F"	46465
