"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Diseases of the digestive system"	"K00-K92"	1572	5074296	31.0
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	156	5074296	3.1
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	366	5074296	7.2
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Diseases of the genitourinary system"	"N00-N99"	2201	5074296	43.4
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	5074296	Suppressed
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Certain conditions originating in the perinatal period"	"P00-P96"	71	5074296	1.4
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	82	5074296	1.6
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	4539	5074296	89.5
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	1271	5074296	25.0
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Codes for special purposes"	"U00-U99"	432	5074296	8.5
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"External causes of morbidity and mortality"	"V01-Y89"	0	5074296	Unreliable
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	1580	5074296	31.1
	"Alaska"	"02"	"2018"	"2018"	"Certain infectious and parasitic diseases"	"A00-B99"	370	737438	50.2
	"Alaska"	"02"	"2018"	"2018"	"Neoplasms"	"C00-D48"	1084	737438	147.0
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	95	737438	12.9
	"Alaska"	"02"	"2018"	"2018"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	625	737438	84.8
	"Alaska"	"02"	"2018"	"2018"	"Mental and behavioural disorders"	"F01-F99"	1230	737438	166.8
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the nervous system"	"G00-G98"	465	737438	63.1
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	737438	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the ear and mastoid process"	"H60-H95"	0	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the circulatory system"	"I00-I99"	2057	737438	278.9
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the respiratory system"	"J00-J98"	970	737438	131.5
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the digestive system"	"K00-K92"	462	737438	62.6
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	44	737438	6.0
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	73	737438	9.9
	"Alaska"	"02"	"2018"	"2018"	"Diseases of the genitourinary system"	"N00-N99"	337	737438	45.7
	"Alaska"	"02"	"2018"	"2018"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	737438	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Certain conditions originating in the perinatal period"	"P00-P96"	35	737438	4.7
	"Alaska"	"02"	"2018"	"2018"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	37	737438	5.0
	"Alaska"	"02"	"2018"	"2018"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	692	737438	93.8
	"Alaska"	"02"	"2018"	"2018"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	813	737438	110.2
	"Alaska"	"02"	"2018"	"2018"	"Codes for special purposes"	"U00-U99"	0	737438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"External causes of morbidity and mortality"	"V01-Y89"	845	737438	114.6
	"Alaska"	"02"	"2018"	"2018"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	0	0	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Certain infectious and parasitic diseases"	"A00-B99"	408	731545	55.8
	"Alaska"	"02"	"2019"	"2019"	"Neoplasms"	"C00-D48"	1142	731545	156.1
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	112	731545	15.3
	"Alaska"	"02"	"2019"	"2019"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	667	731545	91.2
	"Alaska"	"02"	"2019"	"2019"	"Mental and behavioural disorders"	"F01-F99"	1370	731545	187.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the nervous system"	"G00-G98"	493	731545	67.4
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	731545	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the ear and mastoid process"	"H60-H95"	0	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the circulatory system"	"I00-I99"	2118	731545	289.5
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the respiratory system"	"J00-J98"	1038	731545	141.9
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the digestive system"	"K00-K92"	492	731545	67.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	46	731545	6.3
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	80	731545	10.9
	"Alaska"	"02"	"2019"	"2019"	"Diseases of the genitourinary system"	"N00-N99"	394	731545	53.9
	"Alaska"	"02"	"2019"	"2019"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	731545	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Certain conditions originating in the perinatal period"	"P00-P96"	25	731545	3.4
	"Alaska"	"02"	"2019"	"2019"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	44	731545	6.0
	"Alaska"	"02"	"2019"	"2019"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	754	731545	103.1
	"Alaska"	"02"	"2019"	"2019"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	871	731545	119.1
	"Alaska"	"02"	"2019"	"2019"	"Codes for special purposes"	"U00-U99"	0	731545	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"External causes of morbidity and mortality"	"V01-Y89"	925	731545	126.4
	"Alaska"	"02"	"2019"	"2019"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	0	0	Unreliable
	"Alaska"	"02"	"2020"	"2020"	"Certain infectious and parasitic diseases"	"A00-B99"	434	731158	59.4
	"Alaska"	"02"	"2020"	"2020"	"Neoplasms"	"C00-D48"	1187	731158	162.3
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	148	731158	20.2
	"Alaska"	"02"	"2020"	"2020"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	887	731158	121.3
	"Alaska"	"02"	"2020"	"2020"	"Mental and behavioural disorders"	"F01-F99"	1475	731158	201.7
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the nervous system"	"G00-G98"	560	731158	76.6
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the eye and adnexa"	"H00-H59"	Suppressed	731158	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the ear and mastoid process"	"H60-H95"	Suppressed	731158	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2500	731158	341.9
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the respiratory system"	"J00-J98"	1221	731158	167.0
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the digestive system"	"K00-K92"	588	731158	80.4
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	59	731158	8.1
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	99	731158	13.5
	"Alaska"	"02"	"2020"	"2020"	"Diseases of the genitourinary system"	"N00-N99"	464	731158	63.5
	"Alaska"	"02"	"2020"	"2020"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	731158	Unreliable
	"Alaska"	"02"	"2020"	"2020"	"Certain conditions originating in the perinatal period"	"P00-P96"	24	731158	3.3
	"Alaska"	"02"	"2020"	"2020"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	41	731158	5.6
	"Alaska"	"02"	"2020"	"2020"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	880	731158	120.4
	"Alaska"	"02"	"2020"	"2020"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	907	731158	124.0
	"Alaska"	"02"	"2020"	"2020"	"Codes for special purposes"	"U00-U99"	264	731158	36.1
	"Alaska"	"02"	"2020"	"2020"	"External causes of morbidity and mortality"	"V01-Y89"	950	731158	129.9
	"Alaska"	"02"	"2020"	"2020"	"Data not shown due to 6 month lag to account for delays in death certificate completion for certain causes of death."	"999--999"	0	0	Unreliable
	"Alaska"	"02"	"2021"	"2021"	"Certain infectious and parasitic diseases"	"A00-B99"	514	732673	70.2
	"Alaska"	"02"	"2021"	"2021"	"Neoplasms"	"C00-D48"	1252	732673	170.9
	"Alaska"	"02"	"2021"	"2021"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	175	732673	23.9
	"Alaska"	"02"	"2021"	"2021"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	1135	732673	154.9
	"Alaska"	"02"	"2021"	"2021"	"Mental and behavioural disorders"	"F01-F99"	1722	732673	235.0
	"Alaska"	"02"	"2021"	"2021"	"Diseases of the nervous system"	"G00-G98"	640	732673	87.4
