"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Iowa"	"19"	"2019"	"2019"	30867	3155070	978.3
	"Iowa"	"19"	"2020"	"2020"	35981	3163561	1137.4
	"Iowa"	"19"	"2021"	"2021"	34215	3193079	1071.5
	"Iowa"	"19"	"2022"	"2022"	33973	3200517	1061.5
	"Iowa"	"19"	"2023 (provisional)"	"2023"	32553	3200517	1017.1
	"Iowa"	"19"	"2024 (provisional and partial)"	"2024"	12813	3200517	400.3
	"Kansas"	"20"	"2018"	"2018"	27537	2911505	945.8
	"Kansas"	"20"	"2019"	"2019"	27682	2913314	950.2
	"Kansas"	"20"	"2020"	"2020"	32060	2913805	1100.3
	"Kansas"	"20"	"2021"	"2021"	32029	2934582	1091.4
	"Kansas"	"20"	"2022"	"2022"	31551	2937150	1074.2
	"Kansas"	"20"	"2023 (provisional)"	"2023"	29260	2937150	996.2
	"Kansas"	"20"	"2024 (provisional and partial)"	"2024"	11528	2937150	392.5
	"Kentucky"	"21"	"2018"	"2018"	48707	4468402	1090.0
	"Kentucky"	"21"	"2019"	"2019"	48990	4467673	1096.5
	"Kentucky"	"21"	"2020"	"2020"	55880	4477251	1248.1
	"Kentucky"	"21"	"2021"	"2021"	60303	4509394	1337.3
	"Kentucky"	"21"	"2022"	"2022"	57053	4512310	1264.4
	"Kentucky"	"21"	"2023 (provisional)"	"2023"	53019	4512310	1175.0
	"Kentucky"	"21"	"2024 (provisional and partial)"	"2024"	19872	4512310	440.4
	"Louisiana"	"22"	"2018"	"2018"	46048	4659978	988.2
	"Louisiana"	"22"	"2019"	"2019"	45938	4648794	988.2
	"Louisiana"	"22"	"2020"	"2020"	56752	4645318	1221.7
	"Louisiana"	"22"	"2021"	"2021"	57533	4624047	1244.2
	"Louisiana"	"22"	"2022"	"2022"	52339	4590241	1140.2
	"Louisiana"	"22"	"2023 (provisional)"	"2023"	49385	4590241	1075.9
	"Louisiana"	"22"	"2024 (provisional and partial)"	"2024"	16745	4590241	364.8
	"Maine"	"23"	"2018"	"2018"	14715	1338404	1099.4
	"Maine"	"23"	"2019"	"2019"	15065	1344212	1120.7
	"Maine"	"23"	"2020"	"2020"	15740	1350141	1165.8
	"Maine"	"23"	"2021"	"2021"	17269	1372247	1258.4
	"Maine"	"23"	"2022"	"2022"	17364	1385340	1253.4
	"Maine"	"23"	"2023 (provisional)"	"2023"	16749	1385340	1209.0
	"Maine"	"23"	"2024 (provisional and partial)"	"2024"	6731	1385340	485.9
	"Maryland"	"24"	"2018"	"2018"	50568	6042718	836.8
	"Maryland"	"24"	"2019"	"2019"	50800	6045680	840.3
	"Maryland"	"24"	"2020"	"2020"	60072	6055802	992.0
	"Maryland"	"24"	"2021"	"2021"	58117	6165129	942.7
	"Maryland"	"24"	"2022"	"2022"	56456	6164660	915.8
	"Maryland"	"24"	"2023 (provisional)"	"2023"	53411	6164660	866.4
	"Maryland"	"24"	"2024 (provisional and partial)"	"2024"	21236	6164660	344.5
	"Massachusetts"	"25"	"2018"	"2018"	59152	6902149	857.0
	"Massachusetts"	"25"	"2019"	"2019"	58630	6892503	850.6
	"Massachusetts"	"25"	"2020"	"2020"	68223	6893574	989.7
	"Massachusetts"	"25"	"2021"	"2021"	63115	6984723	903.6
	"Massachusetts"	"25"	"2022"	"2022"	63366	6981974	907.6
	"Massachusetts"	"25"	"2023 (provisional)"	"2023"	61167	6981974	876.1
	"Massachusetts"	"25"	"2024 (provisional and partial)"	"2024"	24378	6981974	349.2
	"Michigan"	"26"	"2018"	"2018"	98903	9995915	989.4
	"Michigan"	"26"	"2019"	"2019"	99084	9986857	992.1
	"Michigan"	"26"	"2020"	"2020"	117106	9966555	1175.0
	"Michigan"	"26"	"2021"	"2021"	117782	10050811	1171.9
	"Michigan"	"26"	"2022"	"2022"	110499	10034113	1101.2
	"Michigan"	"26"	"2023 (provisional)"	"2023"	103297	10034113	1029.5
	"Michigan"	"26"	"2024 (provisional and partial)"	"2024"	41288	10034113	411.5
	"Minnesota"	"27"	"2018"	"2018"	44745	5611179	797.4
	"Minnesota"	"27"	"2019"	"2019"	45514	5639632	807.0
	"Minnesota"	"27"	"2020"	"2020"	52372	5657342	925.7
	"Minnesota"	"27"	"2021"	"2021"	51640	5707390	904.8
	"Minnesota"	"27"	"2022"	"2022"	51222	5717184	895.9
	"Minnesota"	"27"	"2023 (provisional)"	"2023"	49202	5717184	860.6
	"Minnesota"	"27"	"2024 (provisional and partial)"	"2024"	19443	5717184	340.1
	"Mississippi"	"28"	"2018"	"2018"	32301	2986530	1081.6
	"Mississippi"	"28"	"2019"	"2019"	32964	2976149	1107.6
	"Mississippi"	"28"	"2020"	"2020"	40190	2966786	1354.7
	"Mississippi"	"28"	"2021"	"2021"	41085	2949965	1392.7
	"Mississippi"	"28"	"2022"	"2022"	37803	2940057	1285.8
	"Mississippi"	"28"	"2023 (provisional)"	"2023"	35053	2940057	1192.3
	"Mississippi"	"28"	"2024 (provisional and partial)"	"2024"	13779	2940057	468.7
	"Missouri"	"29"	"2018"	"2018"	63117	6126452	1030.2
	"Missouri"	"29"	"2019"	"2019"	62401	6137428	1016.7
	"Missouri"	"29"	"2020"	"2020"	73887	6151548	1201.1
	"Missouri"	"29"	"2021"	"2021"	73847	6168187	1197.2
	"Missouri"	"29"	"2022"	"2022"	71851	6177957	1163.0
	"Missouri"	"29"	"2023 (provisional)"	"2023"	66499	6177957	1076.4
	"Missouri"	"29"	"2024 (provisional and partial)"	"2024"	24818	6177957	401.7
	"Montana"	"30"	"2018"	"2018"	9992	1062305	940.6
	"Montana"	"30"	"2019"	"2019"	10402	1068778	973.3
	"Montana"	"30"	"2020"	"2020"	12027	1080577	1113.0
	"Montana"	"30"	"2021"	"2021"	12707	1104271	1150.7
	"Montana"	"30"	"2022"	"2022"	11684	1122867	1040.6
	"Montana"	"30"	"2023 (provisional)"	"2023"	11193	1122867	996.8
	"Montana"	"30"	"2024 (provisional and partial)"	"2024"	4628	1122867	412.2
	"Nebraska"	"31"	"2018"	"2018"	16904	1929268	876.2
	"Nebraska"	"31"	"2019"	"2019"	16970	1934408	877.3
	"Nebraska"	"31"	"2020"	"2020"	19549	1937552	1009.0
	"Nebraska"	"31"	"2021"	"2021"	18925	1963692	963.7
	"Nebraska"	"31"	"2022"	"2022"	18615	1967923	945.9
	"Nebraska"	"31"	"2023 (provisional)"	"2023"	18306	1967923	930.2
	"Nebraska"	"31"	"2024 (provisional and partial)"	"2024"	7001	1967923	355.8
	"Nevada"	"32"	"2018"	"2018"	24715	3034392	814.5
	"Nevada"	"32"	"2019"	"2019"	25586	3080156	830.7
	"Nevada"	"32"	"2020"	"2020"	30618	3138259	975.6
	"Nevada"	"32"	"2021"	"2021"	32923	3143991	1047.2
	"Nevada"	"32"	"2022"	"2022"	30960	3177772	974.3
	"Nevada"	"32"	"2023 (provisional)"	"2023"	28657	3177772	901.8
	"Nevada"	"32"	"2024 (provisional and partial)"	"2024"	11317	3177772	356.1
	"New Hampshire"	"33"	"2018"	"2018"	12774	1356458	941.7
	"New Hampshire"	"33"	"2019"	"2019"	12744	1359711	937.3
	"New Hampshire"	"33"	"2020"	"2020"	13700	1366275	1002.7
	"New Hampshire"	"33"	"2021"	"2021"	14198	1388992	1022.2
	"New Hampshire"	"33"	"2022"	"2022"	14515	1395231	1040.3
	"New Hampshire"	"33"	"2023 (provisional)"	"2023"	14145	1395231	1013.8
	"New Hampshire"	"33"	"2024 (provisional and partial)"	"2024"	5720	1395231	410.0
	"New Jersey"	"34"	"2018"	"2018"	75765	8908520	850.5
	"New Jersey"	"34"	"2019"	"2019"	75010	8882190	844.5
	"New Jersey"	"34"	"2020"	"2020"	96003	8882371	1080.8
	"New Jersey"	"34"	"2021"	"2021"	84032	9267130	906.8
	"New Jersey"	"34"	"2022"	"2022"	81490	9261699	879.9
	"New Jersey"	"34"	"2023 (provisional)"	"2023"	75283	9261699	812.8
	"New Jersey"	"34"	"2024 (provisional and partial)"	"2024"	30372	9261699	327.9
	"New Mexico"	"35"	"2018"	"2018"	19007	2095428	907.1
	"New Mexico"	"35"	"2019"	"2019"	19512	2096829	930.5
	"New Mexico"	"35"	"2020"	"2020"	23807	2106319	1130.3
	"New Mexico"	"35"	"2021"	"2021"	25300	2115877	1195.7
	"New Mexico"	"35"	"2022"	"2022"	23655	2113344	1119.3
	"New Mexico"	"35"	"2023 (provisional)"	"2023"	22277	2113344	1054.1
	"New Mexico"	"35"	"2024 (provisional and partial)"	"2024"	8399	2113344	397.4
	"New York"	"36"	"2018"	"2018"	157183	19542209	804.3
	"New York"	"36"	"2019"	"2019"	156375	19453561	803.8
	"New York"	"36"	"2020"	"2020"	203341	19336776	1051.6
	"New York"	"36"	"2021"	"2021"	181360	19835913	914.3
	"New York"	"36"	"2022"	"2022"	173944	19677151	884.0
	"New York"	"36"	"2023 (provisional)"	"2023"	162149	19677151	824.0
	"New York"	"36"	"2024 (provisional and partial)"	"2024"	65299	19677151	331.9
	"North Carolina"	"37"	"2018"	"2018"	93885	10383620	904.2
	"North Carolina"	"37"	"2019"	"2019"	95881	10488084	914.2
	"North Carolina"	"37"	"2020"	"2020"	109449	10600823	1032.5
	"North Carolina"	"37"	"2021"	"2021"	118093	10551162	1119.2
	"North Carolina"	"37"	"2022"	"2022"	112923	10698973	1055.5
	"North Carolina"	"37"	"2023 (provisional)"	"2023"	107770	10698973	1007.3
	"North Carolina"	"37"	"2024 (provisional and partial)"	"2024"	42356	10698973	395.9
	"North Dakota"	"38"	"2018"	"2018"	6445	760077	847.9
	"North Dakota"	"38"	"2019"	"2019"	6702	762062	879.5
	"North Dakota"	"38"	"2020"	"2020"	8052	765309	1052.1
	"North Dakota"	"38"	"2021"	"2021"	7266	774948	937.6
	"North Dakota"	"38"	"2022"	"2022"	7041	779261	903.5
	"North Dakota"	"38"	"2023 (provisional)"	"2023"	6832	779261	876.7
	"North Dakota"	"38"	"2024 (provisional and partial)"	"2024"	2667	779261	342.2
	"Ohio"	"39"	"2018"	"2018"	124264	11689442	1063.0
	"Ohio"	"39"	"2019"	"2019"	123717	11689100	1058.4
	"Ohio"	"39"	"2020"	"2020"	143700	11693217	1228.9
	"Ohio"	"39"	"2021"	"2021"	147635	11780017	1253.3
	"Ohio"	"39"	"2022"	"2022"	138209	11756058	1175.6
	"Ohio"	"39"	"2023 (provisional)"	"2023"	127784	11756058	1087.0
	"Ohio"	"39"	"2024 (provisional and partial)"	"2024"	49521	11756058	421.2
	"Oklahoma"	"40"	"2018"	"2018"	40933	3943079	1038.1
	"Oklahoma"	"40"	"2019"	"2019"	40930	3956971	1034.4
	"Oklahoma"	"40"	"2020"	"2020"	47809	3980783	1201.0
	"Oklahoma"	"40"	"2021"	"2021"	50945	3986639	1277.9
	"Oklahoma"	"40"	"2022"	"2022"	47976	4019800	1193.5
	"Oklahoma"	"40"	"2023 (provisional)"	"2023"	44159	4019800	1098.5
	"Oklahoma"	"40"	"2024 (provisional and partial)"	"2024"	17308	4019800	430.6
	"Oregon"	"41"	"2018"	"2018"	36187	4190713	863.5
	"Oregon"	"41"	"2019"	"2019"	37370	4217737	886.0
	"Oregon"	"41"	"2020"	"2020"	40220	4241507	948.2
	"Oregon"	"41"	"2021"	"2021"	44989	4246155	1059.5
	"Oregon"	"41"	"2022"	"2022"	44598	4240137	1051.8
	"Oregon"	"41"	"2023 (provisional)"	"2023"	42521	4240137	1002.8
	"Oregon"	"41"	"2024 (provisional and partial)"	"2024"	16116	4240137	380.1
	"Pennsylvania"	"42"	"2018"	"2018"	134702	12807060	1051.8
	"Pennsylvania"	"42"	"2019"	"2019"	133983	12801989	1046.6
	"Pennsylvania"	"42"	"2020"	"2020"	155546	12783254	1216.8
	"Pennsylvania"	"42"	"2021"	"2021"	155390	12964056	1198.6
	"Pennsylvania"	"42"	"2022"	"2022"	147181	12972008	1134.6
	"Pennsylvania"	"42"	"2023 (provisional)"	"2023"	138011	12972008	1063.9
	"Pennsylvania"	"42"	"2024 (provisional and partial)"	"2024"	54207	12972008	417.9
	"Rhode Island"	"44"	"2018"	"2018"	10083	1057315	953.6
	"Rhode Island"	"44"	"2019"	"2019"	10256	1059361	968.1
	"Rhode Island"	"44"	"2020"	"2020"	11819	1057125	1118.0
	"Rhode Island"	"44"	"2021"	"2021"	11243	1095610	1026.2
	"Rhode Island"	"44"	"2022"	"2022"	10704	1093734	978.7
	"Rhode Island"	"44"	"2023 (provisional)"	"2023"	10437	1093734	954.3
	"Rhode Island"	"44"	"2024 (provisional and partial)"	"2024"	4092	1093734	374.1
	"South Carolina"	"45"	"2018"	"2018"	50640	5084127	996.0
	"South Carolina"	"45"	"2019"	"2019"	50962	5148714	989.8
	"South Carolina"	"45"	"2020"	"2020"	61223	5218040	1173.3
	"South Carolina"	"45"	"2021"	"2021"	65422	5190705	1260.4
	"South Carolina"	"45"	"2022"	"2022"	61052	5282634	1155.7
	"South Carolina"	"45"	"2023 (provisional)"	"2023"	58008	5282634	1098.1
	"South Carolina"	"45"	"2024 (provisional and partial)"	"2024"	22143	5282634	419.2
	"South Dakota"	"46"	"2018"	"2018"	7971	882235	903.5
	"South Dakota"	"46"	"2019"	"2019"	8270	884659	934.8
	"South Dakota"	"46"	"2020"	"2020"	9861	892717	1104.6
	"South Dakota"	"46"	"2021"	"2021"	9185	895376	1025.8
	"South Dakota"	"46"	"2022"	"2022"	9016	909824	991.0
	"South Dakota"	"46"	"2023 (provisional)"	"2023"	8548	909824	939.5
	"South Dakota"	"46"	"2024 (provisional and partial)"	"2024"	3297	909824	362.4
	"Tennessee"	"47"	"2018"	"2018"	71078	6770010	1049.9
	"Tennessee"	"47"	"2019"	"2019"	71935	6829174	1053.3
	"Tennessee"	"47"	"2020"	"2020"	84205	6886834	1222.7
	"Tennessee"	"47"	"2021"	"2021"	91130	6975218	1306.5
	"Tennessee"	"47"	"2022"	"2022"	84989	7051339	1205.3
	"Tennessee"	"47"	"2023 (provisional)"	"2023"	79600	7051339	1128.9
	"Tennessee"	"47"	"2024 (provisional and partial)"	"2024"	31029	7051339	440.0
	"Texas"	"48"	"2018"	"2018"	202211	28701845	704.5
	"Texas"	"48"	"2019"	"2019"	203362	28995881	701.3
	"Texas"	"48"	"2020"	"2020"	250339	29360759	852.6
	"Texas"	"48"	"2021"	"2021"	267651	29527941	906.4
	"Texas"	"48"	"2022"	"2022"	241441	30029572	804.0
	"Texas"	"48"	"2023 (provisional)"	"2023"	229064	30029572	762.8
	"Texas"	"48"	"2024 (provisional and partial)"	"2024"	85679	30029572	285.3
	"Utah"	"49"	"2018"	"2018"	18354	3161105	580.6
	"Utah"	"49"	"2019"	"2019"	18736	3205958	584.4
	"Utah"	"49"	"2020"	"2020"	21497	3249879	661.5
	"Utah"	"49"	"2021"	"2021"	22569	3337975	676.1
	"Utah"	"49"	"2022"	"2022"	21886	3380800	647.4
	"Utah"	"49"	"2023 (provisional)"	"2023"	21274	3380800	629.3
	"Utah"	"49"	"2024 (provisional and partial)"	"2024"	8476	3380800	250.7
	"Vermont"	"50"	"2018"	"2018"	6027	626299	962.3
	"Vermont"	"50"	"2019"	"2019"	5956	623989	954.5
	"Vermont"	"50"	"2020"	"2020"	6459	623347	1036.2
	"Vermont"	"50"	"2021"	"2021"	6877	645570	1065.3
	"Vermont"	"50"	"2022"	"2022"	6971	647064	1077.3
	"Vermont"	"50"	"2023 (provisional)"	"2023"	6768	647064	1046.0
	"Vermont"	"50"	"2024 (provisional and partial)"	"2024"	2690	647064	415.7
	"Virginia"	"51"	"2018"	"2018"	69359	8517685	814.3
	"Virginia"	"51"	"2019"	"2019"	70325	8535519	823.9
	"Virginia"	"51"	"2020"	"2020"	80596	8590563	938.2
	"Virginia"	"51"	"2021"	"2021"	85940	8642274	994.4
	"Virginia"	"51"	"2022"	"2022"	82935	8683619	955.1
	"Virginia"	"51"	"2023 (provisional)"	"2023"	78168	8683619	900.2
	"Virginia"	"51"	"2024 (provisional and partial)"	"2024"	30854	8683619	355.3
	"Washington"	"53"	"2018"	"2018"	56877	7535591	754.8
	"Washington"	"53"	"2019"	"2019"	58263	7614893	765.1
	"Washington"	"53"	"2020"	"2020"	63146	7693612	820.8
	"Washington"	"53"	"2021"	"2021"	68689	7738692	887.6
	"Washington"	"53"	"2022"	"2022"	69194	7785786	888.7
	"Washington"	"53"	"2023 (provisional)"	"2023"	66005	7785786	847.8
	"Washington"	"53"	"2024 (provisional and partial)"	"2024"	25160	7785786	323.2
	"West Virginia"	"54"	"2018"	"2018"	23478	1805832	1300.1
	"West Virginia"	"54"	"2019"	"2019"	23404	1792147	1305.9
	"West Virginia"	"54"	"2020"	"2020"	26106	1784787	1462.7
	"West Virginia"	"54"	"2021"	"2021"	29503	1782959	1654.7
	"West Virginia"	"54"	"2022"	"2022"	27507	1775156	1549.6
	"West Virginia"	"54"	"2023 (provisional)"	"2023"	24649	1775156	1388.6
	"West Virginia"	"54"	"2024 (provisional and partial)"	"2024"	9775	1775156	550.7
	"Wisconsin"	"55"	"2018"	"2018"	53684	5813568	923.4
	"Wisconsin"	"55"	"2019"	"2019"	54189	5822434	930.7
	"Wisconsin"	"55"	"2020"	"2020"	62706	5832655	1075.1
	"Wisconsin"	"55"	"2021"	"2021"	60973	5895908	1034.2
	"Wisconsin"	"55"	"2022"	"2022"	60590	5892539	1028.2
	"Wisconsin"	"55"	"2023 (provisional)"	"2023"	57501	5892539	975.8
	"Wisconsin"	"55"	"2024 (provisional and partial)"	"2024"	22663	5892539	384.6
	"Wyoming"	"56"	"2018"	"2018"	5070	577737	877.6
	"Wyoming"	"56"	"2019"	"2019"	5121	578759	884.8
	"Wyoming"	"56"	"2020"	"2020"	5983	582328	1027.4
	"Wyoming"	"56"	"2021"	"2021"	6582	578803	1137.2
	"Wyoming"	"56"	"2022"	"2022"	5905	581381	1015.7
	"Wyoming"	"56"	"2023 (provisional)"	"2023"	5586	581381	960.8
	"Wyoming"	"56"	"2024 (provisional and partial)"	"2024"	2247	581381	386.5
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Group By: Residence State; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Jun 6, 2024 5:48:08 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Jun 6, 2024 5:48:08 AM"
"---"
Caveats:
"1. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
